objectid,Reporter,ComName,SciName,OccStatus,ObsDate,DateAcc,DateEnt,DateUp,Location,Latitude,Longitude,Datum,CoordAcc,Method,DataType,LocalOwner,Habitat,Locality,Site,InfestAcre,GrossAcre,Abundance,Density,NumCollect,Percentcov,TreatArea,TreatComm,Quantity,QuantityU,TrapType,NumTraps,Comments,VisitType,CollectTme,Surveyor,RecSource,RecOwner,RecSrcTyp,OrigName,Nativity,Host,Host_Name,VerifyMthd,IDCred,Verified,Reviewer,ReviewDate,OrgSrcID,PID,Voucher,Museum,MuseumRec,Reference,,,,
8294928,Christen Mason SFWMD,Burmese python,Python molurus ssp. bivittatus,Positive,29-Oct-19,,1-Nov-19,1-Nov-19,"Miami-Dade, Florida, United States",25.44607,-80.57042,WGS84     ,,,,,Ruderal,Frog Pond,,,,,,,,,,,,,,"Large snake caught during a prescribed burn, leaving the burn unit. Humanely euthanized and left on site.",,,,,Unknown,Web Report,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,4-Nov-19,,,0,,,,,,,
8294910,Edward F. Metzger III ,Burmese python,Python molurus ssp. bivittatus,Positive,29-Oct-19,,31-Oct-19,31-Oct-19,"Miami-Dade, Florida, United States",25.74984,-80.48105,WGS84     ,0,Google Maps GPS,,,,,,,,,,,,,,,,,,Roadkill yearling. ,,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,4-Nov-19,,,,,,,,,,
8286083,Matthew Bowser ,Burmese python,Python molurus ssp. bivittatus,Positive,23-Oct-19,,28-Oct-19,,"Collier, Florida, United States",25.8488,-80.95384,WGS84     ,,,,,Edge: Roadside                                    ,"Just west of 11 mile Road hatchling moving north, by the time I stopped it had disappeared, searched the burm but it was gone.",,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,5-Nov-19,,,0,,,,,,,
8286082,Matthew Bowser ,Burmese python,Python molurus ssp. bivittatus,Positive,23-Oct-19,,28-Oct-19,28-Oct-19,"Collier, Florida, United States",25.91159,-81.36405,WGS84     ,,,,,Right-of-Way                                      ,"Captured and euthanized, approximately 40 heading west""",,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,29-Oct-19,,,0,,,,,,,
8286081,Matthew Bowser ,Burmese python,Python molurus ssp. bivittatus,Positive,23-Oct-19,,28-Oct-19,28-Oct-19,"Collier, Florida, United States",25.87385,-81.20424,WGS84     ,,,,,Right-of-Way                                      ,DOR,,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,29-Oct-19,,,0,,,,,,,
8286080,Matthew Bowser ,Burmese python,Python molurus ssp. bivittatus,Positive,15-Oct-19,,28-Oct-19,,"Broward, Florida, United States",26.14633,-80.659,WGS84     ,,,,,,Mile Marker 33 on I75 Eastbound on inside burm. DOR,,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,29-Oct-19,,,0,,,,,,,
8286079,Matthew Bowser ,Burmese python,Python molurus ssp. bivittatus,Positive,15-Oct-19,,28-Oct-19,,"Broward, Florida, United States",26.14623,-80.68663,WGS84     ,,,,,Right-of-Way                                      ,,,,,,,,,,,,,,,Python Dead on Road East bound 75 appeared to be headed North.,,,,,Unknown,Web Report,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,29-Oct-19,,,0,,,,,,,
8286051,Matthew Bowser ,Burmese python,Python molurus ssp. bivittatus,Positive,10-Aug-19,,27-Oct-19,27-Oct-19,"Collier, Florida, United States",25.96529,-81.35357,WGS84     ,0,Google Maps GPS,,,,,,,,,,,,,,,,,,"Hatchling, looked around for more but didn't see any. 30 inches",,10,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,30-Oct-19,,,,,,,,,,
8285795,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,23-Oct-19,,25-Oct-19,,"Collier, Florida, United States",25.85331,-80.99831,WGS84     ,,,,,,Big Cypress National Preserve,,,,,,,,,,,,,,"Collected by M Bowser, euthanized by NPS",,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,25-Oct-19,,,0,,,,,,,
8283723,Travis Mangione FWC,Burmese python,Python molurus ssp. bivittatus,Positive,12-Oct-19,,21-Oct-19,,"Collier, Florida, United States",25.87472,-81.17278,WGS84     ,,,,,,,,,,,,,,,,,,,,Above data inputted by Travis Mangione via a sightings form submitted to check station operators in Big Cypress NP,,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,30-Oct-19,,,0,,,,,,,
8283712,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,21-Oct-19,,21-Oct-19,,"Collier, Florida, United States",26.02474,-81.26343,WGS84     ,,,,,,big cypress national preserve,,,,,,,,,,,,,,observed by public,,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,30-Oct-19,,,0,,,,,,,
8283661,Sarah Norris ,Burmese python,Python molurus ssp. bivittatus,Positive,19-Oct-19,,21-Oct-19,,"Collier, Florida, United States",26.05376,-81.70999,WGS84     ,,,,,Edge: Roadside                                    ,Found on Barefoot Williams Rd. near main entrance to Artesia community,,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,29-Oct-19,,,0,,,,,,,
8281119,Don Marchetto ,Burmese python,Python molurus ssp. bivittatus,Positive,15-Oct-19,,16-Oct-19,,"Collier, Florida, United States",25.89944,-81.28969,WGS84     ,,,,,Edge: Roadside                                    ,,,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,17-Oct-19,,,0,Left on site                                                                                                                                                                                                                                                   ,,,,,,
8280294,Amy Peters South Florida Water Management District,Burmese python,Python molurus ssp. bivittatus,Positive,13-Oct-19,,14-Oct-19,,"Palm Beach, Florida, United States",26.33656,-80.53906,WGS84     ,,,,,,Dead on Road.,,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,15-Oct-19,,,0,,,,,,,
8280185,Ashley Provo ,Burmese python,Python molurus ssp. bivittatus,Positive,13-Oct-19,,13-Oct-19,13-Oct-19,"Palm Beach, Florida, United States",26.33663,-80.53911,WGS84     ,0,Google Maps GPS,,,,,,,,,,,,,,,,,,Had been hit recently,,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,15-Oct-19,,,,,,,,,,
8278072,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,6-Oct-19,,9-Oct-19,,"Collier, Florida, United States",25.86365,-81.10047,WGS84     ,,,,,,"US41, Monroe Station",,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,15-Oct-19,,,0,,,,,,,
8277837,Catherine Gelston Biscayne National Park - National Park Service,Burmese python,Python molurus ssp. bivittatus,Positive,5-Oct-19,,8-Oct-19,,"Miami-Dade, Florida, United States",25.53744,-80.35627,WGS84     ,,,,,Edge: Roadside                                    ,"Snake was coiled on the side of the road near SW 248th Street between SW 102nd Avenue and SW 103rd Avenue in Cutler Bay, Florida.",,0,0,,,,,,,,,,,"I am a National Park Biological Science technician and although I was unable to capture a photo of the snake, I believe my identification is accurate.",,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,15-Oct-19,,,0,N/A                                                                                                                                                                                                                                                            ,,,,,,
8277587,Vanessa McDonough Biscayne National Park,Burmese python,Python molurus ssp. bivittatus,Positive,6-Oct-19,,7-Oct-19,,"Miami-Dade, Florida, United States",25.53,-80.31287,WGS84     ,,,,,Coastal,Snake was in a mangrove tree at the end of Black Point jetty,,0,10,,,,,,,,,,,"This was reported to us by a Sea Tow operator.  He waited on the scene for a park law enforcement officer to respond, but no one came.  I was not working on the day it was scene and thus did not respond.  As far as I am aware, no photos were taken.  I do not know the estimated length of the snake.",,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,15-Oct-19,,,0,"N/A, snake is still at large                                                                                                                                                                                                                                   ",,,,,,
8277234,Don Marchetto ,Burmese python,Python molurus ssp. bivittatus,Positive,2-Oct-19,,4-Oct-19,4-Oct-19,"Collier, Florida, United States",25.85085,-80.9749,WGS84     ,,,,,Edge: Roadside                                    ,Road kill on SR41 in Big Cypress National Preserve,,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,14-Oct-19,,,0,Left on roadside-program does not accept road kill                                                                                                                                                                                                             ,,,,,,
8276215,Amy Siewe None yet,Burmese python,Python molurus ssp. bivittatus,Positive,23-May-19,,2-Oct-19,2-Oct-19,"Collier, Florida, United States",25.85205,-80.98606,WGS84     ,3,Smartphone GPS,,,,,,,,,,,,,,,,,,run over in road so I moved him off to the side. ,,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,2-Oct-19,,,,,,,,,,
8276214,Amy Siewe None yet,Burmese python,Python molurus ssp. bivittatus,Positive,13-Jun-19,,2-Oct-19,2-Oct-19,"Collier, Florida, United States",25.88797,-81.26248,WGS84     ,0,Google Maps GPS,,,,,,,,,,,,,,,,,,"I think it's female,  but it was pretty mangled.",,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,2-Oct-19,,,,,,,,,,
8276213,Amy Siewe None yet,Burmese python,Python molurus ssp. bivittatus,Positive,25-Jun-19,,2-Oct-19,2-Oct-19,"Collier, Florida, United States",25.85571,-81.02335,WGS84     ,0,Google Maps GPS,,,,,,,,,,,,,,,,,,"It was a 12 ft female,  I couldn't get her by myself.  she was wet and wrapped around a tree and disappeared.  ahhhh!",,5,,,Unknown,Android,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,2-Oct-19,,,,,,,,,,
8276212,Amy Siewe None yet,Burmese python,Python molurus ssp. bivittatus,Positive,17-Aug-19,,2-Oct-19,2-Oct-19,"Collier, Florida, United States",25.9083,-81.35743,WGS84     ,5,Smartphone GPS,,,,,,,,,,,,,,,,,,,,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,2-Oct-19,,,,,,,,,,
8276211,Amy Siewe None yet,Burmese python,Python molurus ssp. bivittatus,Positive,17-Aug-19,,2-Oct-19,2-Oct-19,"Collier, Florida, United States",25.9014,-81.31269,WGS84     ,9,Smartphone GPS,,,,,,,,,,,,,,,,,,,,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,2-Oct-19,,,,,,,,,,
8276210,Amy Siewe None yet,Burmese python,Python molurus ssp. bivittatus,Positive,20-Aug-19,,2-Oct-19,2-Oct-19,"Collier, Florida, United States",25.90152,-81.30281,WGS84     ,4,Smartphone GPS,,,,,,,,,,,,,,,,,,hatchling,,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,2-Oct-19,,,,,,,,,,
8276209,Amy Siewe None yet,Burmese python,Python molurus ssp. bivittatus,Positive,20-Aug-19,,2-Oct-19,2-Oct-19,"Collier, Florida, United States",25.87533,-81.21476,WGS84     ,3,Smartphone GPS,,,,,,,,,,,,,,,,,,hatchling,,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,2-Oct-19,,,,,,,,,,
8276208,Amy Siewe None yet,Burmese python,Python molurus ssp. bivittatus,Positive,2-Oct-19,,2-Oct-19,2-Oct-19,"Collier, Florida, United States",25.85386,-81.00397,WGS84     ,0,Google Maps GPS,,,,,,,,,,,,,,,,,,,,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,2-Oct-19,,,,,,,,,,
8276206,Amy Siewe None yet,Burmese python,Python molurus ssp. bivittatus,Positive,2-Sep-19,,2-Oct-19,2-Oct-19,"Collier, Florida, United States",25.87305,-81.19207,WGS84     ,6,Smartphone GPS,,,,,,,,,,,,,,,,,,,,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,2-Oct-19,,,,,,,,,,
8276205,Amy Siewe None yet,Burmese python,Python molurus ssp. bivittatus,Positive,25-Aug-19,,2-Oct-19,2-Oct-19,"Collier, Florida, United States",25.85181,-80.98443,WGS84     ,6,Smartphone GPS,,,,,,,,,,,,,,,,,,hatching ,,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,2-Oct-19,,,,,,,,,,
8275713,"Leah Miller Florida Bat Conservancy, Fakahatchee Strand Preserve SP & FL Panther Natl. Wildlife Refuge",Burmese python,Python molurus ssp. bivittatus,Positive,28-Sep-19,,29-Sep-19,,"Collier, Florida, United States",25.9301,-81.43793,WGS84     ,,,,,Park                                              ,"2.1 miles east of Fakahatchee Boardwalk on US41, attempting to cross road from north to south.",,,,,,,,,,,,,,"Time: 22:29 ET (10:29pm)   About four feet of the snake's anterior visible from guardrail out onto road, head positioned over white stripe on north side of hwy.  I was going 52mph and immediately slowed down, but car was behind me.  I turned around to go back but I believe the combination of two cars in a row passing directly in front of the snake spooked it back towards canal because it wasn't there when I went back.  Slowly made three passes and didn't see it again..I'm a field zoologist and this is my 5th python sighting (3rd one alive), so please don't think I'm reporting a cottonmouth.  It was a python, LARGE, and I believe Burmese (can't positively say it wasn't a rock python, but I know Burmese are common in that area).  One roadkill I measured in the past was 9' and this one looked bigger than the 9' one.  I conservatively estimate it was 10' in length since I saw approx. 4' of the snake, and that 4' included its head-thru-lung-area of body, but couldn't see the rest of it (behind guardrail).",,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,30-Sep-19,,,0,,,,,,,
8275470,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,13-Aug-18,,27-Sep-19,27-Sep-19,"Miami-Dade, Florida, United States",25.8014,-80.8691,WGS84     ,0,Google Maps GPS,,,,,,,,,,,,,,,,,,Big cypress np,,5,,,Unknown,iPhone,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,27-Sep-19,,,,,,,,,,
8275376,Mark Danaher US Fish and Wildlife Service,Burmese python,Python molurus ssp. bivittatus,Positive,26-Sep-19,,26-Sep-19,,"Collier, Florida, United States",26.15294,-81.48449,WGS84     ,,,,,Right-of-Way                                      ,Dead on road. Observed on the south side of I-75 between Florida Panther National Wildlife Refuge and Picayune Strand State Forest. Snake was in the emergency lane.  Location of snake was approximately 250 feet east of the emergency median crossing.,,,,,,,,,,,,,,"Snake was already putrid when discovered at 1414, and likely got hit during the evening of 09/25/2019. Internal organs had been forced out of cloaca and wounds created by vehicle(s) crushing it. Total length was 95.75 inches and snout-vent length was 81.13 inches. Small spurs and relatively skinny body.  Perhaps female, but not confident. Interestingly, I saw an otter dive into the canal on the south side of I-75 when I turned my vehicle into the guard rail opening in order to drive to the snake's location.",,,,,Unknown,Web Report,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,30-Sep-19,,,0,,,,,,,
8275133,Vanessa McDonough Biscayne National Park,Burmese python,Python molurus ssp. bivittatus,Positive,24-Sep-19,,25-Sep-19,,"Miami-Dade, Florida, United States",25.46485,-80.30831,WGS84     ,,,,,Aquatic: Saltwater,Swimming in Biscayne Bay ENE of the end of Convoy Point Channel,,0,15000,,,,,,,,,,,"Python was swimming in bay, attempted to climb into the first NPS vessel that observed it (and that was waiting on scene for biologists to arrive and capture).  Python was netted out of water, transferred to a snake bag, then dispatched via captive bolt.",,,,,Unknown,Web Report,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,25-Sep-19,,,0,Biscayne National Park                                                                                                                                                                                                                                         ,,,,,,
8275088,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,23-Sep-19,,24-Sep-19,,"Collier, Florida, United States",25.84681,-81.38516,WGS84     ,,,,,,"everglades city, fl  gulf coast entrance",,,,,,,,,,,,,,euthanized and turned into NPS,,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,25-Sep-19,,,0,,,,,,,
8274950,Joshua Sands ,Burmese python,Python molurus ssp. bivittatus,Positive,24-Sep-19,,24-Sep-19,24-Sep-19,"Monroe, Florida, United States",25.2054,-80.42108,WGS84     ,,,,,Edge: Roadside                                    ,,,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,30-Sep-19,,,0,,,,,,,
8272431,Joey Cabrera ,Burmese python,Python molurus ssp. bivittatus,Positive,2-Sep-19,,12-Sep-19,12-Sep-19,"Monroe, Florida, United States",25.77678,-81.08643,WGS84     ,0,Google Maps GPS,,,,,,,,,,,,,,,,,,,,5,,,Unknown,iPhone,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,13-Sep-19,,,,,,,,,,
8272430,Joey Cabrera ,Burmese python,Python molurus ssp. bivittatus,Positive,6-Sep-19,,12-Sep-19,12-Sep-19,"Miami-Dade, Florida, United States",25.75988,-80.86388,WGS84     ,0,Google Maps GPS,,,,,,,,,,,,,,,,,,,,5,,,Unknown,iPhone,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,13-Sep-19,,,,,,,,,,
8270934,David Shindle ,Burmese python,Python molurus ssp. bivittatus,Positive,5-Sep-19,,5-Sep-19,5-Sep-19,"Broward, Florida, United States",26.14579,-80.475,WGS84     ,5,Smartphone GPS,,,,,,,,,,,,,,,,,,,,5,,,Unknown,iPhone,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,6-Sep-19,,,,,,,,,,
8267949,annette johnson nps,Burmese python,Python molurus ssp. bivittatus,Positive,23-Aug-19,,23-Aug-19,,"Collier, Florida, United States",25.86765,-81.13979,WGS84     ,,,,,Edge: Roadside                                    ,"BICY,   Hwy 41.,   2.6 km west of Monument campground.",,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,27-Aug-19,,,0,BICY HQ freezer for USGS pick up.                                                                                                                                                                                                                              ,,,,,,
8266685,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,15-Aug-19,,19-Aug-19,,"Monroe, Florida, United States",25.75946,-80.99381,WGS84     ,,,,,,Big Cypress National Preserve,,,,,,,,,,,,,,"Collected by S Hobbs, transferred to NPS",,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,21-Aug-19,,,0,,,,,,,
8266652,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,17-Aug-19,,19-Aug-19,,"Collier, Florida, United States",25.90138,-81.3135,WGS84     ,,,,,,Big Cypress National Preserve,,,,,,,,,,,,,,"Collected by T Rahill, euthanized by NPS",,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,21-Aug-19,,,0,,,,,,,
8266650,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,17-Aug-19,,19-Aug-19,,"Collier, Florida, United States",25.89116,-81.27037,WGS84     ,,,,,,Big Cypress National Preserve,,,,,,,,,,,,,,"collected by G Morris, euthanized by NPS",,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,21-Aug-19,,,0,,,,,,,
8266344,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,15-Aug-19,,16-Aug-19,,"Collier, Florida, United States",25.90129,-81.32595,WGS84     ,,,,,,Big Cypress  National Preserve,,,,,,,,,,,,,,"collected by S Hobbs, euthanized by NPS",,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,21-Aug-19,,,0,,,,,,,
8266296,Jake Travers Florida Fish and Wildlife Conservation Commission,Burmese python,Python molurus ssp. bivittatus,Positive,16-Aug-19,,16-Aug-19,,"Miami-Dade, Florida, United States",25.4,-80.56827,WGS84     ,,,,,Right-of-Way                                      ,"23674-23896 SW 392 Street,Homestead, FL 33034",,,,,,,,,,,,,,DOR Burmese Python approximately 23 inches in length,,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,16-Aug-19,,,0,,,,,,,
8265815,Sarah Norris ,Burmese python,Python molurus ssp. bivittatus,Positive,15-Jul-19,,15-Aug-19,,"Collier, Florida, United States",26.07498,-81.7178,WGS84     ,,,,,Edge: Roadside                                    ,Located in the turn lane for the plaza west of Barefoot Williams Road.,,,,,,,,,,,,,,"Reported by Paul Allen to Rookery Bay Reserve Staff on 7/15Tried submitting then and thought it went through, went to look on the map on 8/15 and realized it did not submit.",,,,,Unknown,Web Report,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,16-Aug-19,,,0,,,,,,,
8263861,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,8-Aug-19,,9-Aug-19,,"Collier, Florida, United States",25.90145,-81.32013,WGS84     ,,,,,,Big Cypress National Preserve,,,,,,,,,,,,,,"Collected by S Depue and A Weisbecker, euthanized by NPS",,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,9-Aug-19,,,0,,,,,,,
8263859,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,8-Aug-19,,9-Aug-19,,"Collier, Florida, United States",25.89419,-81.31049,WGS84     ,,,,,,Big Cypress National Preserve,,,,,,,,,,,,,,"Collected by S Depue and A Weisbecker, euthanized by NPS",,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,9-Aug-19,,,0,,,,,,,
8263856,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,8-Aug-19,,9-Aug-19,,"Collier, Florida, United States",25.90136,-81.32121,WGS84     ,,,,,,Big Cypress National Preserve,,,,,,,,,,,,,,"Collected by S Depue and A Weisbecker, euthanized by NPS",,,,,Unknown,Web Report,,Introduced,,,Expertise,Credible,Verified,FWCC Exotic Species Database,9-Aug-19,,,0,,,,,,,
