Gas production,Gas consumption,Gas imports,Gas exports,Gas reserves,Coal production,Coal consumption,Coal imports,Coal exports,Coal reserves,Oil production,Oil consumption,Oil imports,Oil exports,Oil reserves,Coal consumption that is imported,Gas consumption that is imported,Oil consumption that is imported,Coal production that is exported,Gas production that is exported,Oil production that is exported,Gas production per capita,Gas consumption per capita,Gas imports per capita,Gas exports per capita,Gas reserves per capita,Coal production per capita,Coal consumption per capita,Coal imports per capita,Coal exports per capita,Coal reserves per capita,Oil production per capita,Oil consumption per capita,Oil imports per capita,Oil exports per capita,Oil reserves per capita,Population,Gas net imports,Coal net imports,Oil net imports,Gas net imports per capita,Coal net imports per capita,Oil net imports per capita,Entity,Year
50010000,50010000,0,0,99970000000,21000,21000,0,0,,0,189900,0,117500,0,,,,,,,2.213,2.213,0,0,4423,0.0009292,0.0009292,0,0,,0,0.008404,0,0.0052,0,22600000,0,0,-117500,0,0,-0.0052,Afghanistan,2002
20000000,20000000,0,0,99970000000,35000,35000,0,0,,0,273200,0,230300,0,,,,,,,0.8447,0.8447,0,0,4222,0.001478,0.001478,0,0,,0,0.01154,0,0.009725,0,23680000,0,0,-230300,0,0,-0.009725,Afghanistan,2003
20000000,20000000,0,0,99970000000,34000,34000,0,0,,0,251500,0,34670,0,,,,,,,0.8089,0.8089,0,0,4043,0.001375,0.001375,0,0,,0,0.01017,0,0.001402,0,24730000,0,0,-34670,0,0,-0.001402,Afghanistan,2004
20000000,20000000,0,0,99970000000,33000,33000,0,0,,0,379200,0,0,0,,,,,,,0.7797,0.7797,0,0,3897,0.001286,0.001286,0,0,,0,0.01478,0,0,0,25650000,0,0,0,0,0,0,Afghanistan,2005
20000000,20000000,0,0,49560000000,35000,35000,0,0,,0,483300,0,0,0,,,,,,,0.7567,0.7567,0,0,1875,0.001324,0.001324,0,0,,0,0.01828,0,0,0,26430000,0,0,0,0,0,0,Afghanistan,2006
40000000,40000000,0,0,49560000000,243000,243000,0,0,,0,528500,0,0,0,,,,,,,1.476,1.476,0,0,1829,0.008967,0.008967,0,0,,0,0.0195,0,0,0,27100000,0,0,0,0,0,0,Afghanistan,2007
50010000,50010000,0,0,49560000000,347000,347000,0,0,66000,0,1209000,0,232.3,0,,,,,,,1.804,1.804,0,0,1788,0.01252,0.01252,0,0,0.002381,0,0.0436,0,0.000008379,0,27720000,0,0,-232.3,0,0,-0.000008379,Afghanistan,2008
30000000,30000000,0,0,49560000000,500000,500000,0,0,66000,0,2105000,0,0,0,,,,,,,1.057,1.057,0,0,1745,0.01761,0.01761,0,0,0.002324,0,0.07414,0,0,0,28390000,0,0,0,0,0,0,Afghanistan,2009
141900000,141900000,0,0,49560000000,725000,725000,0,0,66000,0,2483000,0,0,0,,,,,,,4.863,4.863,0,0,1698,0.02484,0.02484,0,0,0.002261,0,0.08508,0,0,0,29190000,0,0,0,0,0,0,Afghanistan,2010
161400000,161400000,0,0,49560000000,1480000,1480000,0,0,66000,0,3241000,0,0,0,,,,,,,5.36,5.36,0,0,1646,0.04914,0.04914,0,0,0.002191,0,0.1076,0,0,0,30120000,0,0,0,0,0,0,Afghanistan,2011
160300000,160300000,0,0,49560000000,1240000,1240000,0,0,66000,0,2849000,0,0,0,,,,,,,5.145,5.145,0,0,1590,0.03979,0.03979,0,0,0.002118,0,0.09142,0,0,0,31160000,0,0,0,0,0,0,Afghanistan,2012
154500000,154500000,0,0,49560000000,1347000,1347000,0,0,66000,0,2037000,0,0,0,,,,,,,4.788,4.788,0,0,1536,0.04174,0.04174,0,0,0.002045,0,0.06313,0,0,0,32270000,0,0,0,0,0,0,Afghanistan,2013
141900000,141900000,0,0,49560000000,1517000,1517000,0,0,66000,0,1607000,0,0,0,,,,,,,4.253,4.253,0,0,1485,0.04547,0.04547,0,0,0.001978,0,0.04816,0,0,0,33370000,0,0,0,0,0,0,Afghanistan,2014
146200000,146200000,0,0,49560000000,1365000,1365000,0,0,66000,0,2028000,0,0,0,,,,,,,4.249,4.249,0,0,1440,0.03967,0.03967,0,0,0.001918,0,0.05892,0,0,0,34410000,0,0,0,0,0,0,Afghanistan,2015
165300000,165300000,0,0,49560000000,1698000,1698000,0,0,66000,0,1486000,0,0,0,,,,,,,4.672,4.672,0,0,1401,0.04799,0.04799,0,0,0.001865,0,0.042,0,0,0,35380000,0,0,0,0,0,0,Afghanistan,2016
156100000,156100000,0,0,49560000000,2191000,2191000,0,0,66000,0,1372000,0,0,0,,,,,,,4.301,4.301,0,0,1365,0.06037,0.06037,0,0,0.001818,0,0.03781,0,0,0,36300000,0,0,0,0,0,0,Afghanistan,2017
153200000,153200000,0,0,49560000000,2445000,2445000,0,0,66000,0,1777000,0,0,0,,,,,,,4.122,4.122,0,0,1333,0.06578,0.06578,0,0,0.001776,0,0.04781,0,0,0,37170000,0,0,0,0,0,0,Afghanistan,2018
128700000,128700000,0,0,49560000000,2139000,2139000,0,0,66000,0,1410000,,,0,,,,,,,3.384,3.384,0,0,1303,0.05623,0.05623,0,0,0.001735,0,0.03706,,,0,38040000,0,0,,0,0,,Afghanistan,2019
80210000,80210000,0,0,49560000000,2096000,2096000,0,0,,0,,,,0,,,,,,,2.06,2.06,0,0,1273,0.05384,0.05384,0,0,,0,,,,0,38930000,0,0,,0,0,,Afghanistan,2020
,,,,49560000000,,,,,,,,,,0,,,,,,,,,,,1244,,,,,,,,,,0,39840000,,,,,,,Afghanistan,2021
283200000,283200000,,,8015000000,1418000,1580000,160000,0,,2555000,2671000,0,0,,,,,,,,105.6,105.6,,,2988,0.5286,0.589,0.05964,0,,0.9524,0.9957,0,0,,2683000,,160000,0,,0.05964,0,Albania,1980
311500000,311500000,,,6995000000,1540000,1690000,150000,0,,2555000,2555000,0,0,,,,,,,,113.8,113.8,,,2556,0.5627,0.6175,0.05481,0,,0.9335,0.9335,0,0,,2737000,,150000,0,,0.05481,0,Albania,1981
283200000,283200000,,,6995000000,1700000,1890000,190000,0,,3716000,2497000,0,0,,,,,,,,101.5,101.5,,,2507,0.6093,0.6774,0.06809,0,,1.332,0.8949,0,0,,2790000,,190000,0,,0.06809,0,Albania,1982
311500000,311500000,,,6004000000,1850000,2050000,200000,0,,4355000,2555000,0,0,,,,,,,,109.5,109.5,,,2110,0.6503,0.7206,0.0703,0,,1.531,0.8981,0,0,,2845000,,200000,0,,0.0703,0,Albania,1983
311500000,311500000,,,5013000000,2010000,2220000,210000,0,,3194000,2497000,0,0,,,,,,,,107.3,107.3,,,1726,0.6921,0.7644,0.07231,0,,1.1,0.8598,0,0,,2904000,,210000,0,,0.07231,0,Albania,1984
283200000,283200000,,,5013000000,2150000,2370000,220000,0,,3194000,2439000,0,0,,,,,,,,95.36,95.36,,,1688,0.724,0.7981,0.07408,0,,1.075,0.8213,0,0,,2970000,,220000,0,,0.07408,0,Albania,1985
396500000,396500000,,,3993000000,2167000,2330000,225000,0,,3194000,2224000,0,0,,,,,,,,130.2,130.2,,,1312,0.7119,0.7654,0.07391,0,,1.049,0.7306,0,0,,3044000,,225000,0,,0.07391,0,Albania,1986
453100000,453100000,,,3993000000,2134000,2430000,230000,0,,3136000,1969000,0,0,,,,,,,,145,145,,,1278,0.6829,0.7776,0.0736,0,,1.003,0.63,0,0,,3125000,,230000,0,,0.0736,0,Albania,1987
708000000,708000000,,,3993000000,2184000,2440000,240000,0,,2555000,1835000,0,0,,,,,,,,221.2,221.2,,,1247,0.6823,0.7623,0.07498,0,,0.7982,0.5733,0,0,,3201000,,240000,0,,0.07498,0,Albania,1988
708000000,708000000,,,3993000000,2193000,2433000,215000,0,,2729000,1568000,0,0,,,,,,,,217.3,217.3,,,1226,0.6731,0.7468,0.06599,0,,0.8377,0.4813,0,0,,3258000,,215000,0,,0.06599,0,Albania,1989
254900000,254900000,0,0,3002000000,2071000,2145000,167500,0,,1742000,1160000,0,0,,,,,,,,77.56,77.56,0,0,913.5,0.6302,0.6528,0.05097,0,,0.5301,0.3531,0,0,,3286000,0,167500,0,0,0.05097,0,Albania,1990
141600000,141600000,0,0,3002000000,1087000,1207000,107500,0,,1103000,1041000,0,0,,,,,,,,43.17,43.17,0,0,915.1,0.3314,0.3679,0.03277,0,,0.3363,0.3173,0,0,,3280000,0,107500,0,0,0.03277,0,Albania,1991
102000000,102000000,0,0,18970000000,366000,316000,95000,0,,638800,1186000,0,0,26240000,,,,,,,31.43,31.43,0,0,5846,0.1128,0.09736,0.02927,0,,0.1968,0.3654,0,0,8.083,3246000,0,95000,0,0,0.02927,0,Albania,1992
29990000,29990000,0,0,19820000000,214000,206000,63560,0,,653900,971000,0,0,26240000,,,,,,,9.386,9.386,0,0,6204,0.06698,0.06447,0.01989,0,,0.2046,0.3039,0,0,8.211,3195000,0,63560,0,0,0.01989,0,Albania,1993
30020000,30020000,0,0,9912000000,169000,169000,45750,0,,638800,767400,0,0,26240000,,,,,,,9.54,9.54,0,0,3150,0.05371,0.05371,0.01454,0,,0.203,0.2439,0,0,8.338,3147000,0,45750,0,0,0.01454,0,Albania,1994
30020000,30020000,0,0,1982000000,80000,141000,6000,0,,580700,860200,0,0,26240000,,,,,,,9.643,9.643,0,0,636.8,0.0257,0.04529,0.001927,0,,0.1865,0.2763,0,0,8.428,3113000,0,6000,0,0,0.001927,0,Albania,1995
30000000,30000000,0,0,1982000000,113000,113000,5026,0,,551700,674400,5226,0,26240000,,,,,,,9.683,9.683,0,0,639.8,0.03647,0.03647,0.001622,0,,0.178,0.2176,0.001687,0,8.466,3099000,0,5026,5226,0,0.001622,0.001687,Albania,1996
20000000,20000000,0,0,1982000000,39000,80500,4052,0,,532300,720700,6272,0,26240000,,,,,,,6.453,6.453,0,0,639.5,0.01258,0.02597,0.001307,0,,0.1717,0.2325,0.002023,0,8.464,3100000,0,4052,6272,0,0.001307,0.002023,Albania,1997
30000000,30000000,0,0,2832000000,49000,49800,4209,0,,365800,876900,5226,0,26240000,,,,,,,9.645,9.645,0,0,910.4,0.01575,0.01601,0.001353,0,,0.1176,0.2819,0.00168,0,8.434,3111000,0,4209,5226,0,0.001353,0.00168,Albania,1998
20000000,20000000,0,0,2832000000,49000,61400,2104,0,,323800,534700,0,0,26240000,,,,,,,6.405,6.405,0,0,906.9,0.01569,0.01966,0.0006739,0,,0.1037,0.1712,0,0,8.401,3123000,0,2104,0,0,0.0006739,0,Albania,1999
30000000,30000000,0,0,2832000000,30000,73000,2261,0,,328400,1270000,0,0,26240000,,,,,,,9.588,9.588,0,0,905,0.009587,0.02333,0.0007224,0,,0.105,0.4059,0,0,8.384,3129000,0,2261,0,0,0.0007224,0,Albania,2000
30000000,30000000,0,0,2832000000,21000,81000,2417,0,,345600,1345000,0,0,26240000,,,,,,,9.587,9.587,0,0,904.9,0.00671,0.02588,0.0007723,0,,0.1104,0.4298,0,0,8.383,3130000,0,2417,0,0,0.0007723,0,Albania,2001
30000000,30000000,0,0,2832000000,15000,62000,1550,0,,369400,1561000,0,0,26240000,,,,,,,9.598,9.598,0,0,905.9,0.004798,0.01983,0.0004958,0,,0.1182,0.4993,0,0,8.392,3126000,0,1550,0,0,0.0004958,0,Albania,2002
30000000,30000000,0,0,2832000000,58000,64000,3115,0,,390100,1586000,0,0,26240000,,,,,,,9.623,9.623,0,0,908.3,0.0186,0.02053,0.000999,0,,0.1251,0.5085,0,0,8.414,3118000,0,3115,0,0,0.000999,0,Albania,2003
30000000,30000000,0,0,2832000000,58000,59000,5994,0,,388700,1768000,0,0,26240000,,,,,,,9.663,9.663,0,0,912.1,0.01868,0.019,0.001931,0,,0.1252,0.5693,0,0,8.45,3105000,0,5994,0,0,0.001931,0,Albania,2004
30000000,30000000,0,0,2832000000,45000,54000,3998,0,,406500,1776000,0,0,26240000,,,,,,,9.72,9.72,0,0,917.5,0.01458,0.01749,0.001295,0,,0.1317,0.5754,0,0,8.499,3087000,0,3998,0,0,0.001295,0,Albania,2005
30000000,30000000,0,0,849600000,45000,80750,48670,0,,449600,1657000,0,66140,31500000,,,,,,,9.795,9.795,0,0,277.4,0.01469,0.02636,0.01589,0,,0.1468,0.5409,0,0.02159,10.28,3063000,0,48670,-66140,0,0.01589,-0.02159,Albania,2006
10000000,10000000,0,0,849600000,45000,107500,97920,0,,372800,1616000,0,158500,31500000,,,,,,,3.296,3.296,0,0,280,0.01483,0.03543,0.03228,0,,0.1229,0.5328,0,0.05225,10.38,3034000,0,97920,-158500,0,0.03228,-0.05225,Albania,2007
30000000,30000000,0,0,849600000,61000,134300,102500,0,794000,348400,1590000,0,190100,31660000,,,,,,,9.992,9.992,0,0,282.9,0.02032,0.04471,0.03414,0,0.2644,0.116,0.5296,0,0.0633,10.54,3003000,0,102500,-190100,0,0.03414,-0.0633,Albania,2008
30000000,30000000,0,0,849600000,10000,161000,90750,0,522000,309400,1552000,76650,354900,31660000,,,,,,,10.09,10.09,0,0,285.8,0.003364,0.05415,0.03052,0,0.1756,0.1041,0.522,0.02578,0.1194,10.65,2973000,0,90750,-278300,0,0.03052,-0.0936,Albania,2009
10000000,10000000,0,0,849600000,10000,147000,64720,0,522000,629700,1507000,0,522900,31660000,,,,,,,3.393,3.393,0,0,288.2,0.003392,0.04987,0.02195,0,0.1771,0.2136,0.5112,0,0.1774,10.74,2948000,0,64720,-522900,0,0.02195,-0.1774,Albania,2010
10000000,10000000,0,0,849600000,5000,133000,90760,0,522000,901000,1494000,103900,731900,31660000,,,,,,,3.415,3.415,0,0,290.1,0.001707,0.04542,0.03099,0,0.1782,0.3076,0.5103,0.03549,0.2499,10.81,2929000,0,90760,-627900,0,0.03099,-0.2144,Albania,2011
17000000,17000000,0,0,849600000,7000,119000,99610,0,522000,977700,1315000,0,1005000,31660000,,,,,,,5.834,5.834,0,0,291.5,0.002402,0.04084,0.03418,0,0.1791,0.3355,0.4511,0,0.3448,10.87,2914000,0,99610,-1005000,0,0.03418,-0.3448,Albania,2012
19000000,19000000,0,0,849600000,9000,105000,102000,0,522000,987700,1578000,0,1225000,27410000,,,,,,,6.544,6.544,0,0,292.6,0.003099,0.03617,0.03514,0,0.1798,0.3401,0.5434,0,0.422,9.44,2904000,0,102000,-1225000,0,0.03514,-0.422,Albania,2013
32000000,32000000,0,0,821300000,16650,131100,133100,0,522000,1191000,1634000,52500,1110000,26760000,,,,,,,11.05,11.05,0,0,283.6,0.005749,0.04526,0.04595,0,0.1802,0.4112,0.564,0.01812,0.3832,9.241,2896000,0,133100,-1057000,0,0.04595,-0.3651,Albania,2014
35000000,35000000,0,0,821300000,24300,112000,111900,0,522000,1171000,1513000,0,1036000,26760000,,,,,,,12.11,12.11,0,0,284.1,0.008407,0.03876,0.03872,0,0.1806,0.405,0.5236,0,0.3585,9.259,2891000,0,111900,-1036000,0,0.03872,-0.3585,Albania,2015
45010000,45010000,0,0,821300000,14000,87000,81370,0,522000,1321000,1578000,0,929000,26760000,,,,,,,15.59,15.59,0,0,284.5,0.00485,0.03014,0.02819,0,0.1808,0.4577,0.5466,0,0.3219,9.273,2886000,0,81370,-929000,0,0.02819,-0.3219,Albania,2016
50010000,50010000,0,0,821300000,13880,94330,77600,0,522000,987200,2051000,0,511900,26760000,,,,,,,17.34,17.34,0,0,284.8,0.004812,0.03271,0.02691,0,0.181,0.3423,0.7112,0,0.1775,9.28,2884000,0,77600,-511900,0,0.02691,-0.1775,Albania,2017
42930000,42930000,0,0,821300000,11430,90960,79530,0,522000,929100,1919000,0,611600,26760000,,,,,,,14.89,14.89,0,0,284.9,0.003966,0.03155,0.02759,0,0.1811,0.3223,0.6658,0,0.2122,9.285,2883000,0,79530,-611600,0,0.02759,-0.2122,Albania,2018
42060000,42060000,0,0,5692000000,9538,104000,94430,0,522000,1045000,1533000,,,26760000,,,,,,,14.6,14.6,0,0,1976,0.003311,0.03609,0.03278,0,0.1812,0.3628,0.532,,,9.29,2881000,0,94430,,0,0.03278,,Albania,2019
,,0,0,5692000000,9161,119400,110300,0,,1002000,,,,23850000,,,,,,,,,0,0,1978,0.003183,0.0415,0.03832,0,,0.3483,,,,8.288,2878000,0,110300,,0,0.03832,,Albania,2020
,,,,5692000000,,,,,,,,,,23850000,,,,,,,,,,,1981,,,,,,,,,,8.302,2873000,,,,,,,Albania,2021
,,,,,,,,,,63700000,,,,,,,,,,,,,,,,,,,,,4.055,,,,,15710000,,,,,,,Algeria,1973
,,,,,,,,,,58580000,,,,,,,,,,,,,,,,,,,,,3.628,,,,,16150000,,,,,,,Algeria,1974
,,,,,,,,,,57080000,,,,,,,,,,,,,,,,,,,,,3.437,,,,,16610000,,,,,,,Algeria,1975
,,,,,,,,,,62440000,,,,,,,,,,,,,,,,,,,,,3.655,,,,,17090000,,,,,,,Algeria,1976
,,,,,,,,,,66890000,,,,,,,,,,,,,,,,,,,,,3.804,,,,,17580000,,,,,,,Algeria,1977
,,,,,,,,,,71490000,,,,,,,,,,,,,,,,,,,,,3.949,,,,,18100000,,,,,,,Algeria,1978
,,,,,,,,,,71090000,,,,,,,,,,,,,,,,,,,,,3.812,,,,,18650000,,,,,,,Algeria,1979
11640000000,13030000000,,,3738000000000,3000,92870,89870,0,,64220000,7026000,187700,41430000,1342000000,,,,,,,605.5,677.7,,,194500,0.0001561,0.004832,0.004675,0,,3.341,0.3655,0.009764,2.156,69.81,19220000,,89870,-41250000,,0.004675,-2.146,Algeria,1980
21860000000,9799000000,,,3724000000000,9500,279100,269600,0,,58190000,7375000,275400,30300000,1304000000,,,,,,,1103,494.3,,,187900,0.0004792,0.01408,0.0136,0,,2.935,0.372,0.01389,1.528,65.77,19820000,,269600,-30030000,,0.0136,-1.515,Algeria,1981
26680000000,15660000000,,,3707000000000,16000,746000,730000,0,,57290000,8304000,247400,16450000,1285000000,,,,,,,1304,765.7,,,181200,0.0007823,0.03647,0.03569,0,,2.801,0.406,0.0121,0.8044,62.81,20450000,,730000,-16200000,,0.03569,-0.7923,Algeria,1982
37210000000,18580000000,,,3151000000000,22500,1210000,1187000,0,,55820000,7898000,427700,16820000,1501000000,,,,,,,1763,880.4,,,149300,0.001066,0.05733,0.05627,0,,2.645,0.3743,0.02027,0.797,71.13,21100000,,1187000,-16390000,,0.05627,-0.7767,Algeria,1983
38520000000,19260000000,,,3120000000000,22750,1247000,1224000,0,,58910000,8710000,475300,15960000,1466000000,,,,,,,1770,884.9,,,143400,0.001045,0.0573,0.05625,0,,2.707,0.4002,0.02184,0.7335,67.36,21760000,,1224000,-15490000,,0.05625,-0.7117,Algeria,1984
38520000000,16540000000,,,3090000000000,23000,1247000,1224000,0,,60160000,9582000,403400,18160000,1431000000,,,,,,,1717,737.3,,,137700,0.001025,0.0556,0.05458,0,,2.682,0.4271,0.01798,0.8095,63.79,22430000,,1224000,-17750000,,0.05458,-0.7915,Algeria,1985
37670000000,17050000000,,,3033000000000,11000,1260000,1249000,0,,62250000,9651000,510600,15800000,1402000000,,,,,,,1630,738,,,131300,0.0004761,0.05453,0.05406,0,,2.695,0.4178,0.0221,0.6839,60.7,23100000,,1249000,-15290000,,0.05406,-0.6618,Algeria,1986
43190000000,18580000000,,,3002000000000,9500,1277000,1267000,0,,62210000,9721000,494800,14350000,1399000000,,,,,,,1817,781.4,,,126300,0.0003996,0.05371,0.05331,0,,2.617,0.4089,0.02081,0.6037,58.85,23770000,,1267000,-13860000,,0.05331,-0.5829,Algeria,1987
46300000000,20160000000,,,2999000000000,10000,1296000,1286000,0,,60680000,10030000,546000,14170000,1352000000,,,,,,,1894,824.9,,,122700,0.0004091,0.05301,0.0526,0,,2.483,0.4103,0.02234,0.5797,55.29,24440000,,1286000,-13620000,,0.0526,-0.5573,Algeria,1988
48400000000,18690000000,,,2951000000000,9000,1313000,1304000,0,,64200000,10620000,572800,16290000,1336000000,,,,,,,1928,744.5,,,117500,0.0003585,0.05231,0.05195,0,,2.557,0.423,0.02282,0.6488,53.2,25110000,,1304000,-15720000,,0.05195,-0.626,Algeria,1989
50610000000,19290000000,0,30670000000,3228000000000,10750,1222000,1211000,0,,68530000,11240000,408200,17470000,1463000000,,,,,,,1965,748.7,0,1191,125300,0.0004173,0.04744,0.04703,0,,2.66,0.4362,0.01585,0.6781,56.79,25760000,-30670000000,1211000,-17060000,-1191,0.04703,-0.6623,Algeria,1990
54740000000,21950000000,0,32790000000,3248000000000,12500,1131000,1118000,0,,67940000,12080000,365600,20020000,1463000000,,,,,,,2074,831.3,0,1242,123000,0.0004735,0.04284,0.04236,0,,2.574,0.4577,0.01385,0.7582,55.41,26400000,-32790000000,1118000,-19650000,-1242,0.04236,-0.7443,Algeria,1991
55810000000,20670000000,0,35130000000,3299000000000,15000,1049000,1034000,0,,69780000,12220000,547200,16220000,1463000000,,,,,,,2065,764.9,0,1300,122100,0.000555,0.03879,0.03824,0,,2.582,0.4523,0.02025,0.6003,54.12,27030000,-35130000000,1034000,-15680000,-1300,0.03824,-0.58,Algeria,1992
53870000000,18550000000,0,35310000000,3625000000000,20000,823900,803900,0,,67790000,11970000,420400,17890000,1463000000,,,,,,,1949,671.3,0,1278,131200,0.0007237,0.02981,0.02909,0,,2.453,0.4333,0.01521,0.6472,52.93,27640000,-35310000000,803900,-17470000,-1278,0.02909,-0.632,Algeria,1993
51170000000,19550000000,0,31610000000,3625000000000,23000,840000,817000,0,,67070000,11820000,388800,18850000,1463000000,,,,,,,1814,693,0,1121,128500,0.0008152,0.02977,0.02896,0,,2.377,0.4191,0.01378,0.6682,51.85,28210000,-31610000000,817000,-18460000,-1121,0.02896,-0.6544,Algeria,1994
58110000000,21010000000,0,37090000000,3625000000000,22000,502000,480000,0,,67470000,11880000,563000,18790000,1463000000,,,,,,,2021,730.7,0,1290,126100,0.000765,0.01746,0.01669,0,,2.346,0.4129,0.01958,0.6533,50.87,28760000,-37090000000,480000,-18230000,-1290,0.01669,-0.6338,Algeria,1995
