Name_x,Name_y,Games,Event
Meta Elste (Neumann-),Clara Marie Schroth-Lomady,1948 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),Anita Aline Simonis (-Zetts),1948 Summer,Gymnastics Women's Team All-Around
Helen Mary Schifano (-Sjursen),"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",1948 Summer,Gymnastics Women's Team All-Around
Helen Mary Schifano (-Sjursen),Marian Emma Barone (Twining-),1948 Summer,Gymnastics Women's Team All-Around
Helen Mary Schifano (-Sjursen),"Consetta Anne ""Connie"" Caruccio-Lenz",1948 Summer,Gymnastics Women's Team All-Around
Helen Mary Schifano (-Sjursen),Dorothy Katherine Dalton,1948 Summer,Gymnastics Women's Team All-Around
Helen Mary Schifano (-Sjursen),Meta Elste (Neumann-),1948 Summer,Gymnastics Women's Team All-Around
Helen Mary Schifano (-Sjursen),Clara Marie Schroth-Lomady,1948 Summer,Gymnastics Women's Team All-Around
Helen Mary Schifano (-Sjursen),Anita Aline Simonis (-Zetts),1948 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",1948 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Marian Emma Barone (Twining-),1948 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,"Consetta Anne ""Connie"" Caruccio-Lenz",1948 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Dorothy Katherine Dalton,1948 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Meta Elste (Neumann-),1948 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Helen Mary Schifano (-Sjursen),1948 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Anita Aline Simonis (-Zetts),1948 Summer,Gymnastics Women's Team All-Around
Anita Aline Simonis (-Zetts),"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",1948 Summer,Gymnastics Women's Team All-Around
Anita Aline Simonis (-Zetts),Marian Emma Barone (Twining-),1948 Summer,Gymnastics Women's Team All-Around
Anita Aline Simonis (-Zetts),"Consetta Anne ""Connie"" Caruccio-Lenz",1948 Summer,Gymnastics Women's Team All-Around
Anita Aline Simonis (-Zetts),Dorothy Katherine Dalton,1948 Summer,Gymnastics Women's Team All-Around
Anita Aline Simonis (-Zetts),Meta Elste (Neumann-),1948 Summer,Gymnastics Women's Team All-Around
Anita Aline Simonis (-Zetts),Helen Mary Schifano (-Sjursen),1948 Summer,Gymnastics Women's Team All-Around
Anita Aline Simonis (-Zetts),Clara Marie Schroth-Lomady,1948 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Individual All-Around
Marian Emma Barone (Twining-),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Individual All-Around
Marian Emma Barone (Twining-),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Individual All-Around
Marian Emma Barone (Twining-),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Individual All-Around
Marian Emma Barone (Twining-),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Individual All-Around
Marian Emma Barone (Twining-),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Individual All-Around
Marian Emma Barone (Twining-),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Individual All-Around
Dorothy Katherine Dalton,Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Individual All-Around
Dorothy Katherine Dalton,Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Individual All-Around
Dorothy Katherine Dalton,Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Individual All-Around
Dorothy Katherine Dalton,Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Individual All-Around
Dorothy Katherine Dalton,Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Individual All-Around
Dorothy Katherine Dalton,Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Individual All-Around
Dorothy Katherine Dalton,Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Individual All-Around
Meta Elste (Neumann-),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Individual All-Around
Meta Elste (Neumann-),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Individual All-Around
Meta Elste (Neumann-),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Individual All-Around
Meta Elste (Neumann-),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Individual All-Around
Meta Elste (Neumann-),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Individual All-Around
Meta Elste (Neumann-),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Individual All-Around
Meta Elste (Neumann-),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Individual All-Around
Ruth Catherine Grulkowski (-Hatyina),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Individual All-Around
Ruth Catherine Grulkowski (-Hatyina),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Individual All-Around
Ruth Catherine Grulkowski (-Hatyina),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Individual All-Around
Ruth Catherine Grulkowski (-Hatyina),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Individual All-Around
Ruth Catherine Grulkowski (-Hatyina),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Individual All-Around
Ruth Catherine Grulkowski (-Hatyina),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Individual All-Around
Ruth Catherine Grulkowski (-Hatyina),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Individual All-Around
Marie Margaret Hoesly,Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Individual All-Around
Marie Margaret Hoesly,Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Individual All-Around
Marie Margaret Hoesly,Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Individual All-Around
Marie Margaret Hoesly,Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Individual All-Around
Marie Margaret Hoesly,Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Individual All-Around
Marie Margaret Hoesly,Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Individual All-Around
Marie Margaret Hoesly,Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Individual All-Around
Doris Ann Kirkman (-Cannon),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Individual All-Around
Doris Ann Kirkman (-Cannon),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Individual All-Around
Doris Ann Kirkman (-Cannon),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Individual All-Around
Doris Ann Kirkman (-Cannon),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Individual All-Around
Doris Ann Kirkman (-Cannon),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Individual All-Around
Doris Ann Kirkman (-Cannon),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Individual All-Around
Doris Ann Kirkman (-Cannon),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Individual All-Around
Clara Marie Schroth-Lomady,Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Individual All-Around
Clara Marie Schroth-Lomady,Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Individual All-Around
Clara Marie Schroth-Lomady,Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Individual All-Around
Clara Marie Schroth-Lomady,Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Individual All-Around
Clara Marie Schroth-Lomady,Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Individual All-Around
Clara Marie Schroth-Lomady,Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Individual All-Around
Clara Marie Schroth-Lomady,Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Individual All-Around
Ruth Elizabeth Topalian (Lehle-),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Individual All-Around
Ruth Elizabeth Topalian (Lehle-),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Individual All-Around
Ruth Elizabeth Topalian (Lehle-),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Individual All-Around
Ruth Elizabeth Topalian (Lehle-),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Individual All-Around
Ruth Elizabeth Topalian (Lehle-),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Individual All-Around
Ruth Elizabeth Topalian (Lehle-),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Individual All-Around
Ruth Elizabeth Topalian (Lehle-),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Individual All-Around
Marian Emma Barone (Twining-),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team All-Around
Ruth Catherine Grulkowski (-Hatyina),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team All-Around
Ruth Catherine Grulkowski (-Hatyina),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team All-Around
Ruth Catherine Grulkowski (-Hatyina),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team All-Around
Ruth Catherine Grulkowski (-Hatyina),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team All-Around
Ruth Catherine Grulkowski (-Hatyina),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team All-Around
Ruth Catherine Grulkowski (-Hatyina),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team All-Around
Ruth Catherine Grulkowski (-Hatyina),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team All-Around
Marie Margaret Hoesly,Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team All-Around
Marie Margaret Hoesly,Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team All-Around
Marie Margaret Hoesly,Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team All-Around
Marie Margaret Hoesly,Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team All-Around
Marie Margaret Hoesly,Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team All-Around
Marie Margaret Hoesly,Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team All-Around
Marie Margaret Hoesly,Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team All-Around
Doris Ann Kirkman (-Cannon),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team All-Around
Doris Ann Kirkman (-Cannon),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team All-Around
Doris Ann Kirkman (-Cannon),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team All-Around
Doris Ann Kirkman (-Cannon),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team All-Around
Doris Ann Kirkman (-Cannon),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team All-Around
Doris Ann Kirkman (-Cannon),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team All-Around
Doris Ann Kirkman (-Cannon),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team All-Around
Clara Marie Schroth-Lomady,Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team All-Around
Ruth Elizabeth Topalian (Lehle-),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team All-Around
Ruth Elizabeth Topalian (Lehle-),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team All-Around
Ruth Elizabeth Topalian (Lehle-),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team All-Around
Ruth Elizabeth Topalian (Lehle-),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team All-Around
Ruth Elizabeth Topalian (Lehle-),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team All-Around
Ruth Elizabeth Topalian (Lehle-),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team All-Around
Ruth Elizabeth Topalian (Lehle-),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team Portable Apparatus
Marian Emma Barone (Twining-),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Marian Emma Barone (Twining-),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team Portable Apparatus
Marian Emma Barone (Twining-),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team Portable Apparatus
Marian Emma Barone (Twining-),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team Portable Apparatus
Marian Emma Barone (Twining-),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team Portable Apparatus
Marian Emma Barone (Twining-),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Dorothy Katherine Dalton,Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Dorothy Katherine Dalton,Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Dorothy Katherine Dalton,Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team Portable Apparatus
Dorothy Katherine Dalton,Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team Portable Apparatus
Dorothy Katherine Dalton,Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team Portable Apparatus
Dorothy Katherine Dalton,Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team Portable Apparatus
Dorothy Katherine Dalton,Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Meta Elste (Neumann-),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Meta Elste (Neumann-),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team Portable Apparatus
Meta Elste (Neumann-),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team Portable Apparatus
Meta Elste (Neumann-),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team Portable Apparatus
Meta Elste (Neumann-),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team Portable Apparatus
Meta Elste (Neumann-),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team Portable Apparatus
Meta Elste (Neumann-),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Catherine Grulkowski (-Hatyina),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Catherine Grulkowski (-Hatyina),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Catherine Grulkowski (-Hatyina),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Catherine Grulkowski (-Hatyina),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Catherine Grulkowski (-Hatyina),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Catherine Grulkowski (-Hatyina),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Catherine Grulkowski (-Hatyina),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Marie Margaret Hoesly,Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Marie Margaret Hoesly,Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team Portable Apparatus
Marie Margaret Hoesly,Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Marie Margaret Hoesly,Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team Portable Apparatus
Marie Margaret Hoesly,Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team Portable Apparatus
Marie Margaret Hoesly,Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team Portable Apparatus
Marie Margaret Hoesly,Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Doris Ann Kirkman (-Cannon),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Doris Ann Kirkman (-Cannon),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team Portable Apparatus
Doris Ann Kirkman (-Cannon),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Doris Ann Kirkman (-Cannon),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team Portable Apparatus
Doris Ann Kirkman (-Cannon),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team Portable Apparatus
Doris Ann Kirkman (-Cannon),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team Portable Apparatus
Doris Ann Kirkman (-Cannon),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Clara Marie Schroth-Lomady,Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Clara Marie Schroth-Lomady,Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team Portable Apparatus
Clara Marie Schroth-Lomady,Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Clara Marie Schroth-Lomady,Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team Portable Apparatus
Clara Marie Schroth-Lomady,Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team Portable Apparatus
Clara Marie Schroth-Lomady,Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team Portable Apparatus
Clara Marie Schroth-Lomady,Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Elizabeth Topalian (Lehle-),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Elizabeth Topalian (Lehle-),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Elizabeth Topalian (Lehle-),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Elizabeth Topalian (Lehle-),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Elizabeth Topalian (Lehle-),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Elizabeth Topalian (Lehle-),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Team Portable Apparatus
Ruth Elizabeth Topalian (Lehle-),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Team Portable Apparatus
Marian Emma Barone (Twining-),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Floor Exercise
Marian Emma Barone (Twining-),Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Floor Exercise
Marian Emma Barone (Twining-),Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Floor Exercise
Marian Emma Barone (Twining-),Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Floor Exercise
Marian Emma Barone (Twining-),Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Floor Exercise
Marian Emma Barone (Twining-),Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Floor Exercise
Marian Emma Barone (Twining-),Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Floor Exercise
Dorothy Katherine Dalton,Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Floor Exercise
Dorothy Katherine Dalton,Meta Elste (Neumann-),1952 Summer,Gymnastics Women's Floor Exercise
Dorothy Katherine Dalton,Ruth Catherine Grulkowski (-Hatyina),1952 Summer,Gymnastics Women's Floor Exercise
Dorothy Katherine Dalton,Marie Margaret Hoesly,1952 Summer,Gymnastics Women's Floor Exercise
Dorothy Katherine Dalton,Doris Ann Kirkman (-Cannon),1952 Summer,Gymnastics Women's Floor Exercise
Dorothy Katherine Dalton,Clara Marie Schroth-Lomady,1952 Summer,Gymnastics Women's Floor Exercise
Dorothy Katherine Dalton,Ruth Elizabeth Topalian (Lehle-),1952 Summer,Gymnastics Women's Floor Exercise
Meta Elste (Neumann-),Marian Emma Barone (Twining-),1952 Summer,Gymnastics Women's Floor Exercise
Meta Elste (Neumann-),Dorothy Katherine Dalton,1952 Summer,Gymnastics Women's Floor Exercise
