Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
128,323,112,5,4,4.5,8.78,0,0.79
129,333,113,5,4,4,9.28,1,0.89
130,314,109,4,3.5,4,8.77,1,0.82
131,316,100,2,1.5,3,8.16,1,0.71
132,326,116,2,4.5,3,9.08,1,0.8
133,318,109,1,3.5,3.5,9.12,0,0.78
134,329,110,2,4,3,9.15,1,0.84
135,332,118,2,4.5,3.5,9.36,1,0.9
136,331,115,5,4,3.5,9.44,1,0.92
137,340,120,4,4.5,4,9.92,1,0.97
138,325,112,2,3,3.5,8.96,1,0.8
139,320,113,2,2,2.5,8.64,1,0.81
140,315,105,3,2,2.5,8.48,0,0.75
141,326,114,3,3,3,9.11,1,0.83
142,339,116,4,4,3.5,9.8,1,0.96
143,311,106,2,3.5,3,8.26,1,0.79
144,334,114,4,4,4,9.43,1,0.93
145,332,116,5,5,5,9.28,1,0.94
146,321,112,5,5,5,9.06,1,0.86
147,324,105,3,3,4,8.75,0,0.79
148,326,108,3,3,3.5,8.89,0,0.8
149,312,109,3,3,3,8.69,0,0.77
150,315,105,3,2,2.5,8.34,0,0.7
151,309,104,2,2,2.5,8.26,0,0.65
152,306,106,2,2,2.5,8.14,0,0.61
153,297,100,1,1.5,2,7.9,0,0.52
154,315,103,1,1.5,2,7.86,0,0.57
155,298,99,1,1.5,3,7.46,0,0.53
156,318,109,3,3,3,8.5,0,0.67
157,317,105,3,3.5,3,8.56,0,0.68
158,329,111,4,4.5,4,9.01,1,0.81
159,322,110,5,4.5,4,8.97,0,0.78
160,302,102,3,3.5,5,8.33,0,0.65
161,313,102,3,2,3,8.27,0,0.64
162,293,97,2,2,4,7.8,1,0.64
163,311,99,2,2.5,3,7.98,0,0.65
164,312,101,2,2.5,3.5,8.04,1,0.68
165,334,117,5,4,4.5,9.07,1,0.89
166,322,110,4,4,5,9.13,1,0.86
167,323,113,4,4,4.5,9.23,1,0.89
168,321,111,4,4,4,8.97,1,0.87
169,320,111,4,4.5,3.5,8.87,1,0.85
170,329,119,4,4.5,4.5,9.16,1,0.9
171,319,110,3,3.5,3.5,9.04,0,0.82
172,309,108,3,2.5,3,8.12,0,0.72
173,307,102,3,3,3,8.27,0,0.73
174,300,104,3,3.5,3,8.16,0,0.71
175,305,107,2,2.5,2.5,8.42,0,0.71
176,299,100,2,3,3.5,7.88,0,0.68
177,314,110,3,4,4,8.8,0,0.75
178,327,113,4,4.5,4.5,9.11,1,0.89
179,317,107,3,3.5,3,8.68,1,0.84
180,335,118,5,4.5,3.5,9.44,1,0.93
181,331,115,5,4.5,3.5,9.36,1,0.93
182,324,111,5,4.5,4,9.16,1,0.9
183,323,110,5,4,5,8.98,1,0.87
184,322,114,5,4.5,4,8.94,1,0.86
185,336,118,5,4.5,5,9.53,1,0.94
186,316,109,3,3.5,3,8.76,0,0.77
187,307,107,2,3,3.5,8.52,1,0.78
188,306,105,2,3,2.5,8.26,0,0.73
189,310,106,2,3.5,2.5,8.33,0,0.73
190,313,107,3,4,4.5,8.69,0,0.72
191,317,103,3,2.5,3,8.54,1,0.73
192,315,110,2,3.5,3,8.46,1,0.72
193,340,120,5,4.5,4.5,9.91,1,0.97
194,334,120,5,4,5,9.87,1,0.97
195,298,105,3,3.5,4,8.54,0,0.69
196,295,99,2,2.5,3,7.65,0,0.57
197,315,99,2,3.5,3,7.89,0,0.63
198,310,102,3,3.5,4,8.02,1,0.66
199,305,106,2,3,3,8.16,0,0.64
200,301,104,3,3.5,4,8.12,1,0.68
201,325,108,4,4.5,4,9.06,1,0.79
202,328,110,4,5,4,9.14,1,0.82
203,338,120,4,5,5,9.66,1,0.95
204,333,119,5,5,4.5,9.78,1,0.96
205,331,117,4,4.5,5,9.42,1,0.94
206,330,116,5,5,4.5,9.36,1,0.93
207,322,112,4,4.5,4.5,9.26,1,0.91
208,321,109,4,4,4,9.13,1,0.85
209,324,110,4,3,3.5,8.97,1,0.84
210,312,104,3,3.5,3.5,8.42,0,0.74
211,313,103,3,4,4,8.75,0,0.76
212,316,110,3,3.5,4,8.56,0,0.75
213,308,109,2,3,4,8.45,0,0.71
214,305,105,2,3,2,8.23,0,0.67
215,296,99,2,2.5,2.5,8.03,0,0.61
216,306,110,2,3.5,4,8.45,0,0.63
217,318,112,3,4,3.5,8.67,0,0.71
218,324,111,4,3,3,9.01,1,0.82
219,313,104,3,4,4.5,8.65,0,0.73
220,319,106,3,3.5,2.5,8.33,1,0.74
221,312,107,2,2.5,3.5,8.27,0,0.69
222,304,100,2,2.5,3.5,8.07,0,0.64
223,330,113,5,5,4,9.31,1,0.91
224,326,111,5,4.5,4,9.23,1,0.88
225,325,112,4,4,4.5,9.17,1,0.85
226,329,114,5,4.5,5,9.19,1,0.86
227,310,104,3,2,3.5,8.37,0,0.7
228,299,100,1,1.5,2,7.89,0,0.59
229,296,101,1,2.5,3,7.68,0,0.6
230,317,103,2,2.5,2,8.15,0,0.65
231,324,115,3,3.5,3,8.76,1,0.7
232,325,114,3,3.5,3,9.04,1,0.76
233,314,107,2,2.5,4,8.56,0,0.63
234,328,110,4,4,2.5,9.02,1,0.81
235,316,105,3,3,3.5,8.73,0,0.72
236,311,104,2,2.5,3.5,8.48,0,0.71
237,324,110,3,3.5,4,8.87,1,0.8
238,321,111,3,3.5,4,8.83,1,0.77
239,320,104,3,3,2.5,8.57,1,0.74
240,316,99,2,2.5,3,9,0,0.7
241,318,100,2,2.5,3.5,8.54,1,0.71
242,335,115,4,4.5,4.5,9.68,1,0.93
243,321,114,4,4,5,9.12,0,0.85
244,307,110,4,4,4.5,8.37,0,0.79
245,309,99,3,4,4,8.56,0,0.76
246,324,100,3,4,5,8.64,1,0.78
247,331,119,4,5,4.5,9.34,1,0.9
248,327,108,5,5,3.5,9.13,1,0.87
249,312,104,3,3.5,4,8.09,0,0.71
250,308,103,2,2.5,4,8.36,1,0.7
251,324,111,3,2.5,1.5,8.79,1,0.7
252,325,110,2,3,2.5,8.76,1,0.75
253,313,102,3,2.5,2.5,8.68,0,0.71
254,312,105,2,2,2.5,8.45,0,0.72
255,314,107,3,3,3.5,8.17,1,0.73
256,327,113,4,4.5,5,9.14,0,0.83
257,308,108,4,4.5,5,8.34,0,0.77
258,306,105,2,2.5,3,8.22,1,0.72
259,299,96,2,1.5,2,7.86,0,0.54
260,294,95,1,1.5,1.5,7.64,0,0.49
261,312,99,1,1,1.5,8.01,1,0.52
262,315,100,1,2,2.5,7.95,0,0.58
263,322,110,3,3.5,3,8.96,1,0.78
264,329,113,5,5,4.5,9.45,1,0.89
265,320,101,2,2.5,3,8.62,0,0.7
266,308,103,2,3,3.5,8.49,0,0.66
267,304,102,2,3,4,8.73,0,0.67
268,311,102,3,4.5,4,8.64,1,0.68
269,317,110,3,4,4.5,9.11,1,0.8
270,312,106,3,4,3.5,8.79,1,0.81
271,321,111,3,2.5,3,8.9,1,0.8
272,340,112,4,5,4.5,9.66,1,0.94
273,331,116,5,4,4,9.26,1,0.93
274,336,118,5,4.5,4,9.19,1,0.92
275,324,114,5,5,4.5,9.08,1,0.89
276,314,104,4,5,5,9.02,0,0.82
277,313,109,3,4,3.5,9,0,0.79
278,307,105,2,2.5,3,7.65,0,0.58
279,300,102,2,1.5,2,7.87,0,0.56
280,302,99,2,1,2,7.97,0,0.56
281,312,98,1,3.5,3,8.18,1,0.64
282,316,101,2,2.5,2,8.32,1,0.61
283,317,100,2,3,2.5,8.57,0,0.68
284,310,107,3,3.5,3.5,8.67,0,0.76
285,320,120,3,4,4.5,9.11,0,0.86
286,330,114,3,4.5,4.5,9.24,1,0.9
287,305,112,3,3,3.5,8.65,0,0.71
288,309,106,2,2.5,2.5,8,0,0.62
289,319,108,2,2.5,3,8.76,0,0.66
290,322,105,2,3,3,8.45,1,0.65
291,323,107,3,3.5,3.5,8.55,1,0.73
292,313,106,2,2.5,2,8.43,0,0.62
293,321,109,3,3.5,3.5,8.8,1,0.74
294,323,110,3,4,3.5,9.1,1,0.79
295,325,112,4,4,4,9,1,0.8
296,312,108,3,3.5,3,8.53,0,0.69
297,308,110,4,3.5,3,8.6,0,0.7
298,320,104,3,3,3.5,8.74,1,0.76
299,328,108,4,4.5,4,9.18,1,0.84
300,311,107,4,4.5,4.5,9,1,0.78
301,301,100,3,3.5,3,8.04,0,0.67
302,308,104,2,2.5,3,8.07,0,0.65
303,298,101,2,1.5,2,7.86,0,0.54
304,300,99,1,1,2.5,8.01,0,0.58
305,324,111,3,2.5,2,8.8,1,0.79
306,327,113,4,3.5,3,8.69,1,0.8
307,317,106,3,4,3.5,8.5,1,0.75
308,323,104,3,4,4,8.44,1,0.73
309,314,107,2,2.5,4,8.27,0,0.72
310,305,102,2,2,2.5,8.18,0,0.62
311,315,104,3,3,2.5,8.33,0,0.67
312,326,116,3,3.5,4,9.14,1,0.81
313,299,100,3,2,2,8.02,0,0.63
314,295,101,2,2.5,2,7.86,0,0.69
315,324,112,4,4,3.5,8.77,1,0.8
316,297,96,2,2.5,1.5,7.89,0,0.43
317,327,113,3,3.5,3,8.66,1,0.8
318,311,105,2,3,2,8.12,1,0.73
319,308,106,3,3.5,2.5,8.21,1,0.75
320,319,108,3,3,3.5,8.54,1,0.71
321,312,107,4,4.5,4,8.65,1,0.73
322,319,110,3,3,2.5,8.79,0,0.72
323,332,118,5,5,5,9.47,1,0.94
324,323,108,5,4,4,8.74,1,0.81
325,324,107,5,3.5,4,8.66,1,0.81
326,312,107,3,3,3,8.46,1,0.75
327,326,110,3,3.5,3.5,8.76,1,0.79
328,308,106,3,3,3,8.24,0,0.58
329,305,103,2,2.5,3.5,8.13,0,0.59
330,295,96,2,1.5,2,7.34,0,0.47
331,316,98,1,1.5,2,7.43,0,0.49
332,304,97,2,1.5,2,7.64,0,0.47
333,299,94,1,1,1,7.34,0,0.42
334,302,99,1,2,2,7.25,0,0.57
335,313,101,3,2.5,3,8.04,0,0.62
336,318,107,3,3,3.5,8.27,1,0.74
337,325,110,4,3.5,4,8.67,1,0.73
338,303,100,2,3,3.5,8.06,1,0.64
339,300,102,3,3.5,2.5,8.17,0,0.63
340,297,98,2,2.5,3,7.67,0,0.59
341,317,106,2,2,3.5,8.12,0,0.73
342,327,109,3,3.5,4,8.77,1,0.79
343,301,104,2,3.5,3.5,7.89,1,0.68
344,314,105,2,2.5,2,7.64,0,0.7
345,321,107,2,2,1.5,8.44,0,0.81
346,322,110,3,4,5,8.64,1,0.85
347,334,116,4,4,3.5,9.54,1,0.93
348,338,115,5,4.5,5,9.23,1,0.91
349,306,103,2,2.5,3,8.36,0,0.69
350,313,102,3,3.5,4,8.9,1,0.77
351,330,114,4,4.5,3,9.17,1,0.86
352,320,104,3,3.5,4.5,8.34,1,0.74
353,311,98,1,1,2.5,7.46,0,0.57
354,298,92,1,2,2,7.88,0,0.51
355,301,98,1,2,3,8.03,1,0.67
356,310,103,2,2.5,2.5,8.24,0,0.72
357,324,110,3,3.5,3,9.22,1,0.89
358,336,119,4,4.5,4,9.62,1,0.95
359,321,109,3,3,3,8.54,1,0.79
360,315,105,2,2,2.5,7.65,0,0.39
361,304,101,2,2,2.5,7.66,0,0.38
362,297,96,2,2.5,2,7.43,0,0.34
363,290,100,1,1.5,2,7.56,0,0.47
364,303,98,1,2,2.5,7.65,0,0.56
365,311,99,1,2.5,3,8.43,1,0.71
366,322,104,3,3.5,4,8.84,1,0.78
367,319,105,3,3,3.5,8.67,1,0.73
368,324,110,4,4.5,4,9.15,1,0.82
369,300,100,3,3,3.5,8.26,0,0.62
370,340,113,4,5,5,9.74,1,0.96
371,335,117,5,5,5,9.82,1,0.96
372,302,101,2,2.5,3.5,7.96,0,0.46
373,307,105,2,2,3.5,8.1,0,0.53
374,296,97,2,1.5,2,7.8,0,0.49
375,320,108,3,3.5,4,8.44,1,0.76
376,314,102,2,2,2.5,8.24,0,0.64
377,318,106,3,2,3,8.65,0,0.71
378,326,112,4,4,3.5,9.12,1,0.84
379,317,104,2,3,3,8.76,0,0.77
380,329,111,4,4.5,4,9.23,1,0.89
381,324,110,3,3.5,3.5,9.04,1,0.82
382,325,107,3,3,3.5,9.11,1,0.84
383,330,116,4,5,4.5,9.45,1,0.91
384,312,103,3,3.5,4,8.78,0,0.67
385,333,117,4,5,4,9.66,1,0.95
