time,rad_flow,fpv_close,fpv_open,high,bypass,bpv_close,bpv_open,class
90,53,0,79,0,52,-26,26,27,2
91,37,0,74,-7,28,0,37,46,8
92,55,0,96,2,46,0,41,50,8
93,58,0,79,0,56,0,21,22,0
94,41,-1,84,-3,42,-1,43,43,0
95,56,0,97,3,50,-8,41,48,6
96,37,0,79,0,20,1,42,58,16
97,41,0,88,0,42,24,48,47,0
98,44,0,82,6,44,0,38,38,0
99,37,0,77,8,36,6,40,41,0
100,37,0,78,0,2,25,41,75,34
101,44,4,80,0,42,-14,36,39,2
102,41,1,86,0,42,26,46,45,0
103,39,2,85,-2,38,0,46,46,0
104,37,0,76,6,34,26,39,43,4
105,55,0,96,-1,38,-1,41,57,16
106,37,0,77,0,-20,6,41,98,58
107,50,-2,111,0,50,0,61,62,0
108,41,0,78,0,42,31,37,37,0
109,55,0,93,0,42,-20,37,51,14
110,43,3,76,0,42,-2,33,35,2
111,37,0,76,1,26,-6,39,50,10
112,56,0,76,0,-18,-25,20,94,74
113,42,-3,90,0,42,0,47,48,2
114,49,0,95,5,46,-10,46,48,2
115,46,-5,86,-1,46,-2,40,40,0
116,47,2,85,4,46,0,38,39,0
117,41,2,77,0,42,8,36,36,0
118,45,1,80,2,44,0,35,36,0
119,45,0,86,1,44,0,40,42,2
120,48,-1,89,-1,46,-4,41,42,2
121,46,0,92,6,46,0,45,45,0
122,37,0,80,-6,18,0,43,62,18
123,49,0,81,0,46,0,33,35,2
124,45,-3,77,2,44,0,32,33,0
125,37,0,77,0,34,9,41,44,2
126,48,-1,79,0,46,0,30,32,2
127,41,0,86,0,42,29,46,45,0
128,50,-5,83,0,50,0,32,33,2
129,37,1,99,0,28,0,62,71,8
130,46,-1,107,0,46,0,61,60,0
131,38,0,92,0,16,3,54,77,22
132,53,0,83,0,52,-30,30,32,2
133,47,1,78,-6,46,0,31,32,0
134,44,4,86,4,44,13,43,42,0
135,37,0,83,5,-2,0,46,85,40
136,37,5,79,0,18,0,42,61,20
137,55,0,77,0,26,2,21,51,30
138,55,0,95,0,38,0,40,57,16
139,41,-1,83,4,38,-3,42,44,2
140,56,2,95,0,34,0,40,62,22
141,46,2,90,0,46,8,44,43,0
142,48,-2,110,0,46,-3,62,64,2
143,81,0,84,0,-14,-2,4,100,96
144,54,-1,87,0,54,0,33,33,0
145,45,0,81,0,44,14,36,37,2
146,37,0,84,0,26,0,47,58,10
147,56,0,83,0,54,-11,27,29,2
148,37,0,82,0,16,11,45,66,22
149,80,-4,84,0,-42,0,5,128,124
150,49,-1,81,0,50,0,32,32,0
151,53,0,87,0,54,27,34,33,0
152,37,0,78,0,0,8,41,78,36
153,56,0,92,0,52,2,36,40,4
154,37,0,77,0,34,-30,40,43,2
155,55,-1,79,-3,24,-7,23,55,32
156,46,0,81,1,46,0,35,35,0
157,55,0,77,4,0,0,22,77,56
158,56,0,108,3,54,-5,52,53,2
159,56,0,81,0,-18,11,25,99,74
160,50,0,87,-2,50,0,37,38,0
161,41,0,76,-3,38,0,35,37,2
162,37,0,79,0,30,-7,43,48,6
163,37,0,79,2,12,0,42,66,24
164,81,0,84,0,-20,16,4,105,102
165,56,-4,79,0,56,0,22,22,0
166,44,0,76,-2,44,2,32,32,0
167,37,0,108,0,36,2,71,72,0
168,37,0,79,0,18,2,42,61,18
169,37,0,97,6,34,0,60,64,4
170,43,0,77,0,44,21,34,34,0
171,46,0,79,8,46,2,34,33,0
172,53,2,81,0,54,23,28,26,0
173,46,1,83,0,46,14,37,37,0
174,37,0,80,0,34,-1,43,46,2
175,46,0,76,2,46,2,30,30,0
176,37,0,80,2,26,0,43,54,10
177,56,-1,96,0,52,0,40,44,4
178,37,0,83,0,34,18,46,49,4
179,55,0,77,3,-24,0,22,103,82
180,47,0,88,-2,46,-4,41,41,0
181,56,2,97,0,42,0,40,55,14
182,45,0,80,0,44,-9,35,36,2
183,43,-1,81,4,42,-3,38,40,2
184,55,0,96,2,42,-24,41,55,14
185,39,1,106,0,38,0,68,67,0
186,56,0,85,0,56,5,29,28,0
187,45,-3,84,0,46,17,38,37,0
188,37,0,76,0,36,-18,38,39,2
189,50,0,86,-5,50,0,35,37,2
190,40,-1,80,-3,38,14,40,41,2
191,37,0,105,0,24,9,68,82,14
192,56,-5,97,0,50,0,41,48,6
193,38,0,92,0,20,17,54,71,18
194,43,-4,79,0,42,3,36,38,2
195,51,-1,86,0,50,-2,35,37,2
196,41,2,79,0,38,-21,38,41,2
197,37,0,76,-4,20,-6,40,55,16
198,37,0,74,0,34,2,37,41,4
199,56,0,77,0,16,-1,22,62,40
200,37,0,79,0,28,29,42,50,8
201,53,0,82,0,54,27,29,28,0
202,53,-3,81,0,54,15,28,26,0
203,46,0,82,0,46,3,36,35,0
204,36,-2,82,-1,36,0,46,46,0
205,37,-5,106,0,34,0,69,72,2
206,37,0,95,0,20,-26,58,75,16
207,76,0,81,0,-42,-20,5,125,120
208,49,0,90,0,46,-13,42,44,2
209,42,-1,76,1,42,0,34,35,0
210,53,0,88,0,54,8,35,34,0
211,82,0,86,0,-10,10,3,96,92
212,49,0,86,3,50,0,37,37,0
213,53,0,88,0,54,6,35,33,0
214,37,0,105,3,20,0,68,84,16
215,56,0,86,0,54,-11,31,32,2
216,37,0,83,0,16,-7,47,68,22
217,45,-4,76,0,44,0,32,32,0
218,45,0,83,6,44,-5,38,39,2
219,106,0,107,0,72,0,1,35,34
220,76,-1,81,0,-42,-3,5,125,120
221,46,0,83,0,44,-16,37,39,2
222,48,5,90,0,46,0,41,43,2
223,54,-3,86,-3,54,-4,32,32,0
224,41,-2,82,0,42,10,41,41,0
225,37,0,83,0,8,6,46,75,30
226,56,0,81,0,-18,24,25,99,74
227,84,-2,88,0,0,0,4,88,84
228,43,-3,83,0,42,-12,39,41,2
229,37,0,76,-3,34,-21,38,42,4
230,41,-5,86,0,42,0,45,45,0
231,55,0,77,0,12,4,22,65,42
232,37,0,79,0,8,-26,42,71,28
233,55,0,95,0,50,-1,40,46,6
234,41,0,83,6,38,-13,42,44,2
235,37,0,106,-1,26,0,69,80,12
236,55,0,96,1,52,0,41,44,4
237,38,1,77,0,38,5,40,39,0
238,55,0,76,0,-14,-8,21,92,70
239,42,1,85,0,42,0,43,44,0
240,55,0,76,-1,-18,0,21,94,74
241,55,0,96,5,54,0,41,42,2
242,37,0,74,0,26,-30,38,48,10
243,42,0,79,-7,42,0,37,38,2
244,39,6,76,-1,38,-1,37,37,0
245,47,-3,109,0,46,0,61,62,0
246,41,5,82,0,42,8,41,41,0
247,51,0,80,0,52,22,29,28,0
248,77,4,81,3,-40,10,4,123,118
249,38,-5,86,0,38,0,48,47,0
250,43,2,85,0,42,-1,42,44,2
251,37,0,97,0,36,9,59,60,2
252,56,0,96,-3,54,11,40,42,2
253,41,0,109,3,38,-6,68,70,2
254,45,0,81,0,44,-25,35,37,2
255,51,0,91,0,52,4,40,39,0
256,50,1,106,0,50,0,57,57,0
257,44,3,85,0,44,15,41,41,0
258,56,-4,88,0,54,-29,32,33,2
259,37,0,78,-2,2,5,41,75,34
260,37,0,77,0,18,17,40,59,18
261,53,0,85,0,52,-23,32,33,2
262,56,0,79,0,56,14,23,22,0
263,56,0,77,0,20,5,22,57,36
264,43,0,95,0,42,-20,52,54,2
265,55,-1,80,0,-4,5,25,85,60
266,37,0,105,0,36,10,68,69,2
267,56,7,74,9,-4,-1,18,79,62
268,55,0,95,0,42,-15,40,54,14
269,41,1,84,0,38,-30,43,45,2
270,50,5,83,0,50,0,33,33,0
271,46,1,87,0,46,8,41,41,0
272,84,0,86,-1,-2,0,3,89,86
273,50,4,88,0,50,0,39,39,0
274,41,1,81,0,42,11,39,39,0
275,51,3,86,0,50,-12,35,37,2
276,55,0,78,0,8,10,23,70,48
277,41,-3,77,0,42,8,37,36,0
278,55,0,77,0,26,-13,21,51,30
279,49,0,77,0,50,24,28,28,0
280,46,1,77,0,44,-10,31,33,2
281,37,0,79,0,12,-19,43,66,24
282,55,0,77,0,26,19,21,51,30
283,43,0,86,0,42,-20,42,44,2
284,37,0,81,0,24,7,44,57,14
285,37,0,79,-1,26,-21,42,53,12
286,44,0,81,0,42,-29,37,39,2
287,73,8,77,9,-42,-4,4,121,116
288,46,-5,79,0,46,0,33,32,0
289,102,0,102,-5,70,-10,1,33,32
290,37,0,95,0,18,5,58,77,20
291,37,0,77,0,20,3,40,57,16
292,41,0,84,0,42,10,43,43,0
293,44,0,87,-6,44,2,43,43,0
294,41,0,78,4,42,12,37,37,0
295,42,1,102,0,42,0,60,61,2
296,55,0,86,0,56,21,31,30,0
297,37,0,76,-3,28,-3,39,47,8
298,105,0,107,2,70,0,1,37,36
299,47,-2,80,0,46,0,33,34,0
300,43,0,82,0,42,-19,39,41,2
301,42,0,77,2,42,0,35,35,0
302,47,4,84,0,46,0,37,37,0
303,37,0,78,0,10,4,41,68,26
304,55,4,83,0,54,0,27,28,2
305,52,0,86,-6,52,0,33,34,0
306,85,0,88,0,0,-1,3,88,86
307,55,0,82,0,-18,7,26,100,74
308,44,2,77,0,42,-21,33,35,2
309,45,-4,100,0,44,0,55,56,2
310,48,-1,86,0,46,-11,38,40,2
311,55,0,89,0,56,29,34,32,0
312,49,1,86,0,50,2,37,37,0
313,45,0,83,8,44,-3,38,39,2
314,37,0,95,4,10,0,58,84,26
315,46,2,87,0,46,1,41,41,0
316,53,0,79,0,52,-22,26,27,2
317,37,0,79,0,0,-12,42,79,36
318,55,0,82,-7,-24,0,26,108,82
319,41,0,87,-4,38,-10,46,48,2
320,55,0,77,5,30,0,22,46,24
321,37,0,76,8,26,8,39,50,12
322,37,0,108,0,34,13,71,75,4
323,79,0,83,0,-42,21,4,127,122
324,44,0,83,0,42,-11,39,41,2
325,40,-2,86,0,38,0,46,48,2
326,55,0,82,0,54,889,26,28,2
327,55,0,80,0,54,0,25,26,2
328,45,0,79,0,44,-20,34,35,2
329,49,2,87,0,46,-6,38,41,2
330,74,5,79,10,-42,0,4,123,118
331,46,3,80,0,46,0,34,34,0
332,52,-5,86,0,52,-2,33,34,0
333,41,-5,100,2,42,0,59,59,0
334,82,0,86,0,-40,16,4,128,124
335,42,0,82,-7,42,0,40,41,0
336,49,-1,80,0,50,7,31,31,0
337,37,0,79,-4,36,0,41,43,2
338,44,0,79,0,42,-23,35,37,2
339,45,0,86,-1,44,4,40,42,2
340,57,-2,80,0,56,0,23,23,0
341,37,0,106,3,36,0,69,70,2
342,43,0,82,-6,42,-4,39,41,2
343,47,1,86,0,46,0,40,40,0
344,44,0,81,0,42,-25,37,39,2
345,54,-5,88,0,54,0,34,34,0
346,57,5,92,0,56,0,35,35,0
347,37,0,76,0,34,5,40,43,2
348,41,0,79,3,38,-4,39,41,2
349,49,1,84,0,46,-9,35,37,2
350,51,3,85,0,50,-12,34,36,2
351,38,0,75,0,36,-24,37,39,2
352,56,0,81,0,-6,13,25,89,64
353,37,3,108,0,36,0,71,72,0
354,55,0,77,0,-24,7,21,103,82
355,56,2,97,6,52,0,40,45,4
356,56,0,78,0,6,0,22,73,50
357,80,0,84,6,-36,29,5,121,116
358,52,-1,81,0,52,-1,28,29,0
359,55,0,96,0,52,-15,41,44,4
360,37,0,81,-1,30,0,45,50,6
361,48,-3,83,0,46,0,34,36,2
362,56,0,76,0,-14,14,20,92,72
363,55,0,78,0,6,2,23,73,50
364,46,1,86,3,46,0,40,39,0
365,45,1,90,0,44,0,45,46,0
366,37,0,108,1,36,5,71,72,0
367,45,0,77,8,44,0,32,33,2
368,55,0,87,-1,56,23,32,30,0
369,45,-1,109,0,44,0,64,66,2
370,37,0,79,-4,30,0,42,48,6
371,51,0,84,0,52,0,33,32,0
372,37,0,76,3,36,0,39,40,0
373,37,0,97,0,26,-12,60,71,12
374,79,0,83,-1,-40,7,4,124,120
375,47,-2,90,-2,46,0,43,43,0
376,49,0,77,0,46,-10,28,30,2
377,37,0,79,-1,26,-4,42,53,10
378,56,0,86,0,56,2,31,30,0
379,55,0,93,-1,10,-3,37,82,46
380,42,0,84,8,42,0,43,43,0
381,37,0,97,-2,34,5,60,64,4
382,37,0,79,0,16,14,42,63,22
383,81,5,85,0,-12,0,4,98,94
384,45,0,80,-2,44,0,35,36,0
385,46,1,83,0,44,-25,37,39,2
386,48,0,88,2,46,0,40,42,2
387,107,5,108,1,72,6,1,36,34
388,37,-2,77,0,36,0,41,41,0
389,55,0,99,8,42,-1,43,57,14
390,55,1,86,1,54,0,31,32,2
391,45,0,83,0,46,15,37,36,0
392,56,-3,87,1,56,0,31,30,0
393,56,0,96,0,52,-16,40,44,4
394,37,0,75,0,28,10,38,46,8
395,49,-2,88,0,46,-28,39,41,2
396,44,0,83,8,44,0,38,39,0
397,37,0,78,0,24,24,42,55,14
398,43,0,80,3,42,-17,37,39,2
399,41,0,78,0,38,-1,37,39,2
400,47,-3,75,0,46,0,28,28,0
401,55,-2,80,-5,20,-11,25,59,34
402,50,-1,88,0,50,0,38,39,2
403,37,0,100,0,34,-23,64,67,4
404,55,0,79,0,20,9,23,58,34
405,56,0,77,-3,24,0,22,54,32
406,45,1,81,0,44,-3,35,37,2
407,52,-1,81,0,52,-2,28,29,0
408,38,0,81,0,38,9,43,42,0
409,55,0,77,0,28,-4,21,48,28
410,43,0,76,6,42,-5,33,35,2
411,38,0,82,0,38,6,44,43,0
412,82,0,85,0,-6,5,3,93,90
413,43,1,77,0,42,0,35,36,2
414,56,0,81,2,54,-24,24,26,2
415,46,3,78,0,44,-25,32,34,2
416,37,0,79,0,28,10,42,50,8
417,44,0,77,4,44,0,33,34,0
418,47,-3,76,0,46,0,29,30,0
419,43,0,86,-3,42,-2,42,44,2
420,44,0,88,0,44,3,45,44,0
421,55,0,95,0,46,-3,40,49,8
422,37,1,83,0,36,0,45,46,2
423,37,0,77,0,6,-22,40,72,32
424,44,0,83,0,44,3,39,39,0
425,41,1,76,0,42,17,35,35,0
426,44,1,86,0,44,12,43,42,0
427,37,0,80,5,10,0,43,70,26
428,48,2,77,0,46,0,29,30,2
429,49,0,77,0,46,-7,28,30,2
430,45,0,86,-4,46,22,41,40,0
431,45,-2,83,0,44,-15,37,39,2
432,39,1,77,8,38,0,39,39,0
433,44,1,85,0,44,5,41,41,0
434,51,3,85,0,50,-9,34,36,2
435,56,-3,96,-3,56,0,40,39,0
436,41,0,81,1,42,25,40,39,0
437,38,4,96,0,38,14,58,57,0
438,44,-1,84,0,44,2,40,40,0
439,37,0,78,0,2,-10,41,75,34
440,58,2,84,0,56,0,25,27,2
441,50,0,101,-1,50,0,51,52,0
442,44,1,82,0,44,0,38,38,0
443,42,2,83,0,42,0,41,41,0
444,86,2,89,0,8,4,3,81,78
445,37,0,77,0,8,11,40,69,30
446,49,0,77,4,50,4,28,28,0
447,53,-1,77,4,54,18,25,23,0
448,38,-2,76,-1,38,0,37,37,0
449,51,0,88,0,52,20,37,37,0
450,51,0,83,0,52,10,32,32,0
451,37,0,107,0,30,3,70,76,6
452,46,0,76,1,46,8,30,29,0
453,46,0,88,0,44,-23,42,44,2
454,40,2,81,3,38,0,41,43,2
455,37,0,77,7,20,-6,41,57,16
456,51,0,88,0,50,-12,37,39,2
457,49,5,78,0,50,4,29,29,0
458,49,-1,81,-4,50,-6,32,32,0
459,52,-3,109,0,52,-1,56,57,0
460,57,2,86,0,56,0,29,30,0
461,49,0,77,0,46,-19,28,30,2
462,41,0,81,0,42,24,40,39,0
463,45,-3,81,-4,44,-27,35,37,2
464,37,0,78,0,18,-18,42,60,18
465,37,0,78,0,20,-20,41,57,16
466,56,-1,80,-6,54,-13,24,26,2
467,55,0,98,0,50,-9,42,49,6
468,37,0,78,0,10,6,42,68,26
469,37,0,79,0,28,19,42,50,8
470,51,1,81,0,52,11,29,29,0
471,37,0,90,0,34,-4,53,57,4
472,52,-1,82,0,52,0,30,30,0
473,53,3,86,0,52,-7,33,34,2
474,49,2,86,0,46,-16,38,40,2
475,49,0,79,0,46,-12,30,32,2
476,56,-2,96,-1,52,0,40,44,4
477,37,0,77,0,2,5,40,74,34
478,55,0,79,0,20,0,24,59,34
479,37,0,77,0,26,13,40,51,10
480,43,0,79,5,42,0,35,37,2
481,45,0,83,-1,44,-7,37,39,2
482,56,0,83,0,54,-7,27,28,2
483,49,0,81,0,50,4,33,32,0
484,55,0,77,0,18,5,22,59,38
485,40,0,97,-4,38,0,57,58,2
486,55,0,83,0,-30,-5,27,114,86
487,41,-3,81,0,42,18,40,39,0
488,37,0,82,0,10,31,45,72,26
489,43,0,90,3,42,0,46,48,2
490,52,2,82,0,52,0,30,30,0
491,41,0,86,0,38,-27,45,47,2
492,37,0,79,0,20,31,42,58,16
493,55,-1,91,0,54,-6,35,37,2
494,45,0,86,1,46,20,41,40,0
495,45,0,88,0,46,8,42,41,0
496,37,0,106,0,26,2,68,80,12
497,56,5,86,0,54,-2,30,32,2
498,37,0,108,4,36,0,71,71,0
499,55,0,77,0,-2,-8,21,79,58
500,53,2,84,0,52,-11,31,32,2
501,53,0,108,0,52,-12,55,56,2
502,40,-4,109,0,38,0,70,71,2
503,49,0,86,0,50,25,38,37,0
504,80,0,84,5,-42,0,5,128,124
505,55,0,82,0,-36,-3,26,118,92
506,37,0,77,2,28,0,40,48,8
507,58,-1,86,0,56,-6,27,29,2
508,105,-1,106,-4,70,-5,1,36,36
509,44,3,81,0,44,13,37,37,0
510,51,0,77,0,50,-14,26,28,2
511,56,0,95,0,46,8,40,49,10
512,56,0,78,-1,44,6,22,34,12
513,44,0,83,7,44,0,39,39,0
514,40,-1,88,0,38,0,48,49,2
515,55,0,79,0,-4,2,24,85,60
516,47,-5,90,7,46,0,43,44,0
517,64,-5,111,2,62,-9,47,49,2
518,55,0,77,0,12,-15,22,65,42
519,56,-4,81,0,54,-28,25,26,2
520,55,0,95,0,54,-8,40,41,2
521,37,0,80,-1,38,15,43,41,0
522,41,0,79,0,42,10,38,37,0
523,45,0,86,1,44,-17,41,42,2
524,44,0,79,0,42,-21,35,37,2
525,37,0,83,0,34,10,46,50,4
526,45,0,76,-1,44,-1,31,32,2
527,43,0,80,1,42,-24,37,39,2
528,53,1,81,0,52,-4,28,30,2
529,44,-1865,82,-2,44,-4,38,38,0
530,43,-1,86,0,42,-7,43,45,2
531,50,5,81,0,50,0,32,32,0
532,37,0,74,0,30,22,37,43,6
533,37,0,76,-4,36,0,39,39,0
534,55,0,93,8,6,0,38,88,50
535,43,0,80,2,44,17,37,36,0
536,52,-2,86,0,52,-1,34,35,0
537,45,2,90,0,44,0,45,46,2
538,45,-1,81,0,44,-15,36,37,2
539,56,0,97,6,54,0,41,42,2
540,37,0,93,0,12,14,56,81,24
541,44,0,85,0,44,0,41,41,0
542,43,0,84,2,42,-2,41,43,2
543,38,0,100,0,38,0,62,62,0
544,37,0,76,0,20,10,40,55,16
545,45,-1,79,2,46,13,33,32,0
546,37,0,79,0,24,-12,43,56,14
547,56,0,92,0,56,5,36,35,0
548,52,0,86,8,52,0,33,34,0
549,37,0,77,-3,-10,18,40,87,46
550,47,4,87,-5,46,0,40,41,0
551,37,0,94,1,30,-3,57,63,6
552,37,0,76,0,24,25,39,52,14
553,37,1,75,0,20,14,38,54,16
554,53,3,86,-1,52,-12,33,34,2
555,37,0,106,0,20,-22,69,85,16
556,56,4,85,0,56,1,29,28,0
557,48,-2,89,0,46,0,41,42,2
558,46,0,90,7,46,0,44,44,0
559,56,3,77,1,10,9,22,67,46
560,53,0,104,0,54,3,50,49,0
561,49,5,78,-7,50,2,29,29,0
562,45,2,83,0,44,0,37,39,2
563,45,0,90,0,46,11,44,43,0
564,104,0,106,0,72,2,1,33,32
565,54,0,81,-3,54,0,27,26,0
566,80,0,84,0,-36,0,4,120,116
567,53,0,77,0,52,-16,25,26,2
568,37,-18,106,-1,34,-3,69,72,4
569,45,0,80,0,44,-22,35,36,2
570,37,1,109,7,26,0,71,83,12
571,45,0,84,0,44,-2,38,40,2
572,37,0,76,0,28,-3,40,48,8
573,41,3,102,0,42,6,61,60,0
574,56,4,94,0,50,0,38,45,6
575,37,0,76,0,26,5,39,50,12
576,37,0,106,0,34,28,69,73,4
577,37,0,77,0,30,0,40,46,6
578,47,4,102,0,46,0,56,56,0
579,37,0,83,0,36,13,46,46,0
580,62,1,109,0,60,-30,47,50,2
581,56,0,77,0,-6,-24,21,85,64
582,81,0,86,0,-22,15,4,109,104
583,50,-4,111,3,50,0,61,62,0
584,52,0,88,0,52,-2,35,36,0
585,56,2,82,0,56,4,26,25,0
586,55,0,92,0,-6,-14,36,99,64
587,84,2,87,2,-4,0,3,92,88
588,41,2,81,0,38,-18,39,42,2
589,41,0,79,0,38,-11,39,41,2
590,55,0,97,0,52,14,41,45,4
591,47,0,83,0,46,-1,35,36,0
592,37,5,79,3,0,0,41,79,38
593,55,0,77,0,12,7,21,64,42
594,45,-3,83,0,46,20,37,36,0
595,37,-1,78,-3,12,22,42,65,24
596,56,1,89,0,56,0,33,32,0
597,101,0,102,0,72,8,1,29,28
598,78,1,82,3,-42,0,4,126,122
599,37,0,76,0,36,9,39,39,0
600,44,0,108,0,44,8,64,64,0
601,37,0,92,0,18,2,55,74,20
602,37,0,77,7,34,-6,41,44,2
603,37,1,81,-8,34,0,44,48,4
604,59,0,84,0,60,9,25,24,0
605,49,-4,83,0,50,0,34,34,0
606,37,0,74,-2,24,-5,37,51,14
607,55,5,83,0,54,0,28,28,0
608,49,5,106,0,50,13,56,57,0
609,56,0,84,0,54,-15,28,30,2
610,106,-1,108,0,72,3,1,35,34
611,55,1,82,3,54,0,27,28,0
612,44,2,76,0,44,13,32,32,0
613,37,0,77,0,26,-14,41,52,10
614,107,1,109,5,72,1,2,36,34
615,38,0,97,5,38,1,59,58,0
616,37,0,78,0,6,5,41,73,32
617,43,5,75,-1,42,0,32,34,2
618,56,1,81,0,-10,-16,25,91,66
619,56,0,97,0,54,26,40,42,2
620,37,0,79,0,16,-4,43,64,22
621,47,3,93,0,46,0,47,47,0
622,37,-1,77,0,0,0,40,77,36
623,47,0,84,-2,46,0,37,38,0
624,37,4,78,0,-6,0,41,86,44
625,45,2,83,0,44,0,39,39,0
626,48,0,78,0,50,24,30,29,0
627,56,0,76,0,-12,25,20,89,68
628,37,0,83,0,16,-2,47,68,22
629,55,0,77,-1,-10,0,21,87,66
630,37,-1,81,-4,36,-13,43,44,2
631,37,0,83,0,-4,-1,46,88,42
632,47,1,79,5,46,0,32,32,0
633,57,-4,86,0,56,0,30,30,0
634,46,-1,82,0,46,0,36,35,0
635,37,0,83,0,2,-19,46,80,34
636,61,0,111,-3,60,0,50,51,2
637,59,0,87,0,56,-6,28,30,2
638,40,2,79,0,38,0,38,40,2
639,102,2,103,1,72,29,1,31,30
640,46,0,81,7,46,2,35,35,0
641,37,0,77,0,34,-1,40,43,2
642,56,0,77,0,46,15,22,31,10
643,37,0,79,0,8,-10,43,72,28
644,44,1,84,0,42,-24,41,43,2
645,37,0,106,6,24,-18,69,83,14
646,37,0,76,-1,36,-18,39,40,2
647,37,0,79,0,8,1,42,71,30
648,79,2,83,0,-46,0,4,129,126
649,55,0,77,0,-18,-12,21,95,74
650,37,0,77,-4,10,0,41,67,26
651,45,0,82,0,44,-20,37,38,2
652,42,-3,85,0,42,0,43,44,0
653,55,-2,85,0,54,-6,30,31,2
654,46,-1,86,-5,46,-8,40,39,0
655,56,-1,95,0,46,1,40,49,10
656,50,0,79,-7,50,0,30,30,0
657,83,0,87,7,-6,-18,4,95,90
658,56,0,97,0,50,13,41,48,6
659,41,1,77,0,38,-3,37,39,2
660,42,5,77,0,42,0,35,36,2
661,46,0,81,1,46,7,35,35,0
662,46,-3,93,3,46,6,47,46,0
663,37,0,76,-1,26,-14,39,50,10
664,42,0,80,-1,42,0,38,39,2
665,37,0,77,0,6,16,40,72,32
666,51,0,86,0,50,-6,35,37,2
667,56,0,78,0,10,10,22,68,46
668,55,0,93,0,46,-14,37,46,8
669,37,0,75,-5,24,0,38,52,14
670,37,0,92,4,8,3,55,84,30
