Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes
01-08-2015,3453,17497,13.02,11,1.092,219,54,45,1673,172,6,7,185
02-08-2015,2651,5765,4.28,8,544.0,245,6,6,1039,303,48,31,356
03-08-2015,342,15362,11.41,16,683.0,226,65,54,1883,368,29,23,406
04-08-2015,2863,987,7.33,20,793.0,186,28,32,1225,389,36,19,433
05-08-2015,3326,14502,10.78,34,520.0,250,41,59,1838,415,39,31,467
06-08-2015,3472,14652,10.89,26,562.0,350,42,20,2079,0,0,0,0
07-08-2015,2849,7628,5.67,11,638.0,283,11,8,1297,529,78,38,607
08-08-2015,3168,13877,10.31,32,609.0,206,57,51,1638,294,42,18,351
09-08-2015,3109,11433,8.49,15,561.0,236,40,35,1564,303,27,16,336
10-08-2015,3139,13655,10.15,13,985.0,285,8,23,1617,553,31,20,592
11-08-2015,2857,13535,10.08,7,1.348,44,4,14,3470,402,22,12,427
12-08-2015,2055,1883,1.4,1,1.37,70,0,0,2870,192,22,12,230
13-08-2015,3218,11354,8.44,8,694.0,366,4,10,1718,487,27,17,518
14-08-2015,301,11532,8.57,4,572.0,301,26,10,1542,544,39,24,583
15-08-2015,2813,6129,4.55,3,635.0,256,8,1,1159,77,0,0,77
16-08-2015,2706,6238,4.64,3,688.0,267,0,0,1084,80,2,5,92
17-08-2015,3683,15572,11.57,9,515.0,472,33,14,2362,0,0,0,0
18-08-2015,3106,10886,8.09,19,639.0,292,27,20,1578,263,33,17,297
19-08-2015,3217,12213,9.07,6,421.0,381,13,8,1834,219,15,11,237
20-08-2015,3421,12929,9.61,4,565.0,425,25,18,207,551,42,27,593
21-08-2015,3382,16365,12.16,5,461.0,329,45,16,195,429,34,16,465
22-08-2015,3498,17252,12.82,15,481.0,382,19,42,2164,263,7,13,285
23-08-2015,3288,14537,10.8,3,518.0,345,19,47,1937,445,75,38,526
24-08-2015,3215,13404,9.96,18,685.0,192,38,71,1648,212,33,15,247
25-08-2015,3063,1094,8.13,12,697.0,199,52,50,153,324,22,13,354
26-08-2015,2928,10032,7.45,13,757.0,175,45,45,1328,465,60,33,525
27-08-2015,3229,14008,10.41,6,544.0,334,18,35,1828,440,33,23,476
28-08-2015,3356,12149,9.03,11,1.051,369,9,11,1861,518,28,19,549
29-08-2015,389,19977,14.84,26,648.0,395,23,74,254,375,49,33,446
30-08-2015,2961,11924,8.91,64,1.421,0,0,0,0,326,13,6,339
31-08-2015,3136,10757,7.99,15,1.187,145,43,65,1532,397,21,14,437
01-09-2015,3681,12229,9.11,24,689.0,421,17,16,22,497,47,37,549
02-09-2015,3009,1033,7.68,16,770.0,248,16,15,1369,0,0,0,0
03-09-2015,3094,11689,8.69,11,1.043,182,50,51,153,234,5,8,250
04-09-2015,3518,15627,11.61,26,606.0,284,50,55,2063,52,6,3,69
05-09-2015,2885,10681,7.94,1,656.0,240,15,30,1356,0,0,0,0
06-09-2015,2745,7907,5.88,0,654.0,287,0,0,1217,125,13,9,141
07-09-2015,2829,9487,7.05,17,1.156,152,40,28,1197,316,46,20,366
08-09-2015,2742,8253,6.13,11,1.137,91,16,29,7630,0,0,0,0
09-09-2015,4351,22238,16.52,16,355.0,407,87,85,3181,452,26,18,489
10-09-2015,2967,1065,7.91,15,940.0,198,38,42,1421,479,32,21,512
11-09-2015,3054,12038,8.94,14,700.0,201,44,57,153,382,30,18,414
12-09-2015,2937,1148,8.53,2,462.0,315,8,13,1481,0,0,0,0
13-09-2015,2977,9199,6.84,5,600.0,361,15,8,1564,153,8,9,163
14-09-2015,2947,9564,7.11,16,1.118,168,43,46,1355,393,61,33,468
15-09-2015,2821,9019,6.7,13,755.0,144,72,25,1247,226,12,8,249
16-09-2015,3041,10239,7.61,13,675.0,192,35,46,1464,249,31,15,287
17-09-2015,2796,7739,5.75,14,741.0,211,17,10,114,525,72,45,603
18-09-2015,2978,1262,9.38,9,773.0,170,59,39,1419,414,61,34,480
19-09-2015,316,14226,10.57,11,669.0,291,35,41,1736,0,0,0,0
20-09-2015,2325,3858,2.87,1,1.255,185,0,0,7000,426,17,11,444
21-09-2015,3458,17603,13.08,35,1.053,223,56,67,1912,423,40,27,478
22-09-2015,2988,10699,7.95,17,655.0,252,32,21,1471,407,41,29,457
23-09-2015,2561,7261,5.39,17,908.0,135,14,18,8690,393,58,30,452
24-09-2015,3159,10608,7.88,17,1.107,177,63,52,16,396,35,24,433
25-09-2015,3193,12271,9.12,7,548.0,323,34,24,1799,0,0,0,0
26-09-2015,2934,9998,7.45,2,782.0,327,0,0,1431,0,0,0,0
27-09-2015,2589,5757,4.28,1,800.0,270,0,0,1033,395,35,17,430
28-09-2015,2874,8995,6.68,13,826.0,171,45,33,129,420,36,17,456
29-09-2015,2757,7553,5.61,13,789.0,163,54,15,1146,0,0,0,0
30-09-2015,2714,6494,4.83,11,711.0,208,26,5,1092,434,35,16,469
01-10-2015,2712,7951,5.91,11,667.0,191,40,9,1126,359,54,30,414
02-10-2015,2809,7424,5.52,8,801.0,179,43,25,1206,265,20,10,285
03-10-2015,2322,6813,5.06,0,1.315,75,41,9,6670,411,38,23,450
04-10-2015,2319,3991,2.97,1,1.136,163,0,0,6450,309,39,26,348
05-10-2015,2859,9725,7.23,6,988.0,268,24,14,1378,477,27,16,504
06-10-2015,2978,8936,6.64,16,780.0,205,46,27,1383,403,45,27,448
07-10-2015,2678,6565,4.88,10,841.0,157,27,20,1009,431,39,28,470
08-10-2015,2767,7865,5.84,15,1.118,204,32,13,1178,0,0,0,0
09-10-2015,2549,8718,6.48,10,976.0,65,0,0,2580,108,7,5,115
10-10-2015,2918,12364,9.22,0,1.046,234,29,32,1423,78,3,2,81
11-10-2015,2509,5216,3.88,1,1.243,175,17,5,8780,397,66,35,463
12-10-2015,2687,658,4.89,10,1.246,104,57,33,1059,387,17,8,404
13-10-2015,2698,7015,5.21,10,1.244,130,37,29,1036,0,0,0,0
14-10-2015,2621,8103,6.02,5,1.219,215,4,2,1017,407,65,33,472
15-10-2015,2698,6962,5.17,11,1.234,115,57,28,1075,92,7,6,99
16-10-2015,3295,16478,12.3,12,643.0,304,8,43,1833,0,0,0,0
17-10-2015,2871,11603,8.62,3,732.0,236,38,22,1384,0,0,0,0
18-10-2015,2899,11429,8.49,0,962.0,269,8,17,139,0,0,0,0
19-10-2015,2581,6293,4.68,1,854.0,226,0,0,9560,0,0,0,0
20-10-2015,2672,7269,5.4,14,1.29,105,22,23,7910,0,0,0,0
21-10-2015,2406,4471,3.32,2,1.134,165,0,0,6860,326,29,16,355
22-10-2015,341,17913,13.31,7,1.053,210,39,75,1851,444,57,33,505
23-10-2015,2511,5431,4.04,1,678.0,166,9,13,8080,142,9,6,151
24-10-2015,2907,11672,8.67,0,663.0,222,48,29,1401,347,45,29,393
25-10-2015,3435,14777,10.98,0,597.0,302,57,39,1943,0,0,0,0
26-10-2015,2931,9171,6.81,9,767.0,273,30,7,1414,0,0,0,0
27-10-2015,2867,8807,6.54,11,810.0,224,29,12,1275,136,21,10,157
28-10-2015,247,5623,4.18,2,779.0,170,19,3,8170,209,14,6,223
29-10-2015,3109,1291,9.59,20,1.091,258,24,20,1519,365,19,14,384
30-10-2015,2942,8805,6.54,12,821.0,170,51,29,1264,151,16,10,167
31-10-2015,2736,7107,5.28,0,510.0,277,0,0,1162,226,24,15,250
01-11-2015,2395,3862,2.87,0,889.0,166,0,0,6610,405,44,23,449
02-11-2015,259,7368,5.47,13,1.279,126,22,13,7770,276,28,14,304
03-11-2015,2403,6269,4.66,9,1.43,10,0,0,370,0,0,0,0
04-11-2015,2917,852,6.33,14,662.0,191,43,24,1294,155,8,5,163
05-11-2015,2851,8116,6.03,13,827.0,228,37,8,1258,383,41,23,424
06-11-2015,282,8268,6.14,14,776.0,145,75,22,1218,319,15,7,334
07-11-2015,369,14489,10.77,0,525.0,280,52,68,2285,0,0,0,0
08-11-2015,3067,9212,6.84,2,508.0,198,27,53,151,0,0,0,0
09-11-2015,2828,95,7.06,0,756.0,218,28,13,1225,345,41,21,386
10-11-2015,3336,11151,8.29,1,705.0,198,40,79,1799,383,47,28,431
11-11-2015,2867,12351,9.18,1,981.0,181,66,24,1353,391,23,11,414
12-11-2015,2847,1067,7.93,1,684.0,162,17,61,1228,231,26,15,257
13-11-2015,246,5574,4.14,1,1.209,156,8,16,7780,526,30,17,556
14-11-2015,3445,11587,8.61,4,608.0,159,41,103,1953,369,62,37,440
15-11-2015,2853,9499,7.06,2,738.0,167,28,44,1219,291,46,26,337
16-11-2015,359,13788,10.53,18,978.0,282,31,61,199,143,8,5,151
17-11-2015,3792,18361,13.72,33,543.0,366,73,42,2462,503,50,31,553
18-11-2015,3222,14055,10.44,10,673.0,268,53,27,1771,0,0,0,0
19-11-2015,3092,11927,8.86,9,726.0,305,21,37,165,524,32,14,556
20-11-2015,3395,15221,11.31,6,464.0,316,40,58,2004,269,36,21,307
21-11-2015,2802,8568,6.42,1,1.174,249,3,14,1209,0,0,0,0
22-11-2015,2177,3284,2.44,0,1.269,98,3,8,4770,378,32,23,410
23-11-2015,3035,9408,6.99,1,682.0,295,31,14,1552,424,31,24,462
24-11-2015,2843,10261,7.62,1,1.182,210,2,46,1262,353,33,26,386
25-11-2015,2829,8218,6.11,22,1.142,155,50,22,1177,444,46,25,490
26-11-2015,3076,976,7.25,13,1.13,214,61,30,1502,0,0,0,0
27-11-2015,3242,10769,8.0,17,725.0,222,60,42,1711,0,0,0,0
28-11-2015,3254,11671,8.7,5,643.0,375,7,15,1776,244,32,16,276
29-11-2015,3247,14444,10.73,14,618.0,258,39,51,1821,0,0,0,0
30-11-2015,4012,23313,17.32,16,550.0,389,67,75,2743,69,2,1,71
01-12-2015,3232,1681,12.49,14,750.0,152,9,97,1618,0,0,0,0
02-12-2015,3125,10745,8.01,10,634.0,174,48,62,1559,325,22,17,348
03-12-2015,3165,10784,8.04,14,774.0,201,25,68,16,404,43,32,448
04-12-2015,2835,1074,8.08,11,1.1,146,39,52,1271,328,33,22,362
05-12-2015,2872,8531,6.36,0,723.0,325,0,0,1354,352,37,24,397
06-12-2015,3072,12738,9.46,10,811.0,244,45,35,1579,275,31,14,306
07-12-2015,3107,1352,10.07,13,672.0,261,13,50,1603,398,44,33,442
08-12-2015,3801,15884,11.83,2,962.0,248,25,123,2393,271,37,21,308
09-12-2015,3062,10026,7.45,17,803.0,204,29,38,1449,0,0,0,0
10-12-2015,3044,11868,8.84,17,1.19,170,26,54,1411,268,8,4,276
11-12-2015,3082,12381,9.22,17,1.096,212,30,52,1503,196,19,7,215
12-12-2015,2766,7157,5.32,11,605.0,290,0,0,1216,232,11,6,243
13-12-2015,2787,7055,5.24,2,690.0,248,19,6,1182,0,0,0,0
14-12-2015,2831,9348,6.99,18,827.0,179,22,42,1229,318,38,31,369
15-12-2015,2711,8566,6.39,15,898.0,137,28,33,1038,0,0,0,0
16-12-2015,2714,9786,7.27,20,1.118,159,29,28,111,0,0,0,0
17-12-2015,2709,8371,6.22,18,1.069,146,31,24,105,464,58,35,522
18-12-2015,2917,9428,7.01,10,1.141,220,43,21,1331,279,21,20,303
19-12-2015,311,13742,10.21,6,579.0,357,15,22,1734,321,39,21,361
20-12-2015,3391,15636,11.73,2,550.0,316,56,23,1973,242,12,6,254
21-12-2015,3145,12778,9.49,15,664.0,313,42,6,1678,102,4,2,106
22-12-2015,2636,7378,5.48,12,838.0,176,33,12,1044,161,9,4,170
23-12-2015,1789,0,0.0,0,1.44,0,0,0,0,0,0,0,0
24-12-2015,2573,6452,4.79,0,1.217,223,0,0,9620,440,42,22,482
25-12-2015,2808,7837,5.82,0,663.0,332,0,0,1311,339,48,28,387
26-12-2015,2626,6504,4.83,0,588.0,282,0,0,1089,388,16,10,404
27-12-2015,2604,6444,4.84,1,746.0,252,0,0,103,419,19,11,438
28-12-2015,2845,7845,5.83,2,686.0,337,0,0,1359,0,0,0,0
29-12-2015,3135,1226,9.11,11,636.0,375,3,26,1718,0,0,0,0
30-12-2015,305,12154,9.05,9,617.0,276,6,45,1567,308,49,27,357
31-12-2015,2856,7801,5.8,0,577.0,362,0,0,1394,488,46,27,534
01-01-2016,2992,1046,7.92,0,685.0,375,0,0,1558,326,39,24,365
02-01-2016,3265,13837,10.33,7,601.0,339,15,36,1841,207,31,18,238
03-01-2016,309,12517,9.3,11,1.034,272,9,49,1566,242,10,6,252
04-01-2016,3116,10366,7.7,16,650.0,235,53,30,159,448,58,33,506
05-01-2016,3241,12127,9.13,16,682.0,284,47,28,176,541,31,13,572
06-01-2016,2992,11327,8.42,14,613.0,314,5,32,153,278,15,14,295
07-01-2016,3146,11098,8.25,15,720.0,247,53,30,163,316,39,19,355
08-01-2016,3174,12395,9.23,2,567.0,405,7,8,1812,0,0,0,0
09-01-2016,2615,6643,4.94,0,676.0,283,0,0,1093,380,52,31,432
10-01-2016,2711,8846,6.57,9,1.167,183,36,29,1197,297,31,19,328
11-01-2016,3013,9642,7.16,15,758.0,247,44,24,1472,354,43,22,397
12-01-2016,2993,9982,7.42,8,839.0,222,30,26,1387,336,16,8,352
13-01-2016,2627,6613,4.91,11,857.0,205,13,3,102,306,17,10,323
14-01-2016,3128,12161,9.21,11,719.0,198,34,60,156,396,29,10,425
15-01-2016,3361,14837,11.37,11,687.0,210,58,71,1917,0,0,0,0
16-01-2016,3379,16759,12.59,7,589.0,333,23,59,1977,327,18,11,345
17-01-2016,2878,9602,7.26,0,547.0,279,4,15,1314,254,36,18,290
18-01-2016,2144,3761,2.79,7,998.0,99,5,3,4670,423,13,7,436
19-01-2016,2543,7456,5.6,6,1.215,103,22,35,8810,345,29,19,374
20-01-2016,3472,16755,12.78,10,551.0,331,24,51,2073,391,39,22,430
21-01-2016,3218,11937,8.96,12,699.0,254,57,32,1729,400,41,27,441
22-01-2016,3426,14577,10.96,5,519.0,391,34,22,211,434,31,26,466
23-01-2016,3615,17541,13.12,9,570.0,358,50,45,2286,325,11,5,336
24-01-2016,1801,39,0.03,0,1.076,5,0,0,160,0,0,0,0
25-01-2016,242,661,4.91,10,1.27,93,24,26,7560,468,37,24,507
26-01-2016,3066,13073,9.71,18,790.0,166,52,61,1521,336,55,30,391
27-01-2016,2886,9997,7.46,9,759.0,164,52,28,1291,458,63,36,521
28-01-2016,3092,10707,7.96,10,753.0,262,57,18,1592,339,47,28,386
29-01-2016,2931,9952,7.39,17,760.0,233,30,26,14,342,48,31,390
30-01-2016,3034,9774,7.26,0,519.0,357,16,2,1641,0,0,0,0
31-01-2016,2787,626,4.65,0,671.0,298,0,0,1277,357,35,22,392
01-02-2016,2986,11426,8.52,12,911.0,192,48,43,1478,328,37,21,365
02-02-2016,2974,10466,7.78,13,802.0,152,48,48,1333,385,41,27,427
03-02-2016,3199,12866,9.63,11,767.0,271,45,28,1703,248,32,20,280
04-02-2016,2037,2449,1.87,0,821.0,80,0,0,3370,410,26,14,436
05-02-2016,311,10434,7.75,13,718.0,243,42,29,1544,424,48,28,473
05-02-2016,311,10434,7.75,13,718.0,243,42,29,1544,401,18,14,420
06-02-2016,3177,12578,9.4,0,563.0,388,10,11,1784,350,29,19,380
07-02-2016,3182,15373,11.7,12,599.0,273,10,62,1729,316,15,7,331
08-02-2016,3206,12327,9.24,8,699.0,278,28,30,168,376,50,30,426
09-02-2016,2872,10457,7.82,14,847.0,181,15,41,1252,342,41,21,383
10-02-2016,2662,99,7.43,21,1.237,156,6,41,1098,0,0,0,0
11-02-2016,2899,8966,6.66,14,802.0,235,21,20,1299,333,22,15,355
12-02-2016,2816,8353,6.21,19,732.0,219,17,26,1187,322,26,14,348
13-02-2016,3235,13907,10.36,0,551.0,357,15,15,1813,448,55,29,503
14-02-2016,3289,14183,10.54,13,617.0,374,45,12,1941,264,28,20,293
15-02-2016,2751,8453,6.28,11,1.304,124,8,4,5890,0,0,0,0
16-02-2016,2927,7995,5.98,15,802.0,231,34,16,1347,305,27,16,334
17-02-2016,2783,6707,4.98,10,913.0,174,36,19,1131,309,12,7,321
18-02-2016,2804,8109,6.1,13,1.212,143,42,33,1146,0,0,0,0
19-02-2016,2815,11971,9.23,11,865.0,179,3,51,1234,317,17,9,334
20-02-2016,296,11371,8.45,0,457.0,327,14,19,1533,383,35,31,419
21-02-2016,2038,219,1.63,0,954.0,93,0,0,3510,347,45,32,393
22-02-2016,2594,6592,4.93,10,1.234,155,23,14,9580,0,0,0,0
23-02-2016,2841,8624,6.41,10,739.0,193,36,25,122,243,23,9,266
24-02-2016,2933,8307,6.17,12,762.0,195,25,37,1305,437,22,9,459
25-02-2016,2816,7941,5.9,9,878.0,142,47,32,1184,382,35,21,417
26-02-2016,2764,805,5.98,9,1.203,177,40,20,115,0,0,0,0
27-02-2016,3029,9923,7.37,5,1.124,184,25,44,1306,0,0,0,0
28-02-2016,2844,9504,7.15,2,687.0,283,10,1,1322,262,33,16,295
29-02-2016,2612,6847,5.09,10,731.0,206,20,1,1023,166,14,7,180
01-03-2016,3117,11618,8.66,12,776.0,217,59,29,1584,420,31,26,451
02-03-2016,2897,1045,7.76,19,765.0,199,35,26,1292,327,34,22,361
03-03-2016,2864,11478,8.69,17,749.0,167,5,45,1219,420,45,28,465
04-03-2016,2996,1065,7.97,13,754.0,227,31,30,142,157,10,5,167
05-03-2016,2228,3103,2.31,1,1.042,155,0,0,5720,302,23,15,325
06-03-2016,266,696,5.2,0,1.105,280,0,0,1103,0,0,0,0
07-03-2016,322,16699,13.4,11,791.0,158,9,97,1664,348,39,23,387
08-03-2016,3083,14068,11.26,14,824.0,167,8,65,1469,267,31,18,299
09-03-2016,3339,18092,14.05,19,1.12,243,8,69,1833,0,0,0,0
10-03-2016,3307,1853,14.71,20,793.0,162,21,100,1766,334,29,18,364
11-03-2016,3135,14587,10.86,2,1.013,313,14,38,1726,0,0,0,0
12-03-2016,284,9992,7.45,4,685.0,339,0,13,1438,275,13,10,288
13-03-2016,179,0,0.0,0,1.44,0,0,0,0,0,0,0,0
14-03-2016,2538,9336,7.4,11,1.288,73,4,50,8500,0,0,0,0
15-03-2016,3133,15596,12.61,13,782.0,187,3,77,1557,356,14,5,370
16-03-2016,396,25385,20.45,17,638.0,254,17,124,2556,368,46,22,414
17-03-2016,315,14577,11.46,17,823.0,162,10,81,1553,388,14,10,402
18-03-2016,3214,16667,13.08,12,832.0,173,9,90,1647,223,33,17,256
19-03-2016,387,13361,9.93,7,530.0,418,38,50,2548,435,49,31,484
20-03-2016,2731,6754,5.02,1,564.0,315,0,0,1237,383,35,23,427
21-03-2016,2464,5424,4.03,10,1.047,193,7,2,8590,224,20,13,244
22-03-2016,3555,17913,13.41,15,593.0,382,22,55,2243,274,35,26,319
23-03-2016,3063,14324,10.89,14,669.0,222,10,59,1542,391,27,13,418
24-03-2016,2503,8049,6.03,8,1.09,123,3,24,8170,254,32,13,286
25-03-2016,3052,11122,8.29,0,599.0,386,9,0,1646,204,10,5,214
26-03-2016,3021,957,7.11,1,879.0,395,0,0,1587,64,5,4,69
27-03-2016,2223,4667,3.47,0,889.0,114,20,2,5880,457,54,35,512
28-03-2016,179,0,0.0,0,1.44,0,0,0,0,0,0,0,0
29-03-2016,2648,9781,7.34,12,1.23,139,6,39,1009,0,0,0,0
30-03-2016,3768,21383,16.69,17,641.0,384,23,57,2417,321,40,21,361
31-03-2016,3512,20109,15.18,21,629.0,302,35,63,2107,319,25,15,344
01-04-2016,2814,1113,8.61,8,900.0,162,3,54,1176,337,51,23,388
02-04-2016,2884,825,6.13,0,950.0,314,7,1,1335,78,6,3,85
03-04-2016,2931,8682,6.45,0,669.0,355,0,0,1437,315,45,23,360
04-04-2016,3314,17535,13.66,14,881.0,168,8,102,1731,184,29,16,214
05-04-2016,383,20154,15.05,3,445.0,471,28,45,258,425,25,8,450
06-04-2016,4112,23286,17.84,19,561.0,451,28,67,285,267,34,15,302
07-04-2016,3048,13004,9.87,14,856.0,214,3,58,1472,359,14,7,373
08-04-2016,3241,13441,10.04,2,449.0,439,0,0,1874,379,46,24,425
09-04-2016,3038,10216,7.59,0,535.0,390,0,0,1607,507,18,10,525
10-04-2016,2304,5634,4.19,0,921.0,92,41,4,6590,306,35,22,341
11-04-2016,3419,17422,13.38,34,674.0,290,14,61,1928,407,50,26,457
12-04-2016,3179,14475,10.92,14,664.0,291,10,47,1696,354,37,21,391
13-04-2016,3427,17777,13.66,20,696.0,276,10,80,1967,365,65,31,430
14-04-2016,3479,19087,14.65,17,711.0,221,12,96,1954,278,26,18,304
15-04-2016,3501,1629,12.2,12,467.0,427,25,11,2166,396,50,20,446
16-04-2016,3342,14252,10.64,6,675.0,323,60,18,1947,404,67,25,471
