Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
2015-06-16,2952,11568,8.66,13,734.0,189,17,54,1352,394,29,17,436,5.38107286,Tuesday,1.0,1,6.56666666667,90.3669724771,6.31666666667,92.2141119221,June,6
2015-06-17,3352,16813,12.52,52,709.0,202,2,110,1809,421,23,13,448,7.77956492,Wednesday,2.0,1,7.01666666667,93.9732142857,6.56666666667,90.3669724771,June,6
2015-06-18,3425,15217,11.31,61,641.0,280,44,59,1974,169,20,11,196,7.02770601,Thursday,3.0,1,2.81666666667,86.2244897959,7.01666666667,93.9732142857,June,6
2015-06-19,309,13158,9.78,101,715.0,171,30,66,1511,0,0,0,0,6.07700838,Friday,4.0,1,0.0,0.0,2.81666666667,86.2244897959,June,6
2015-06-20,3699,19311,14.35,14,519.0,291,55,93,2348,412,17,9,436,8.91667385,Saturday,5.0,0,6.86666666667,94.495412844,0.0,0.0,June,6
2015-06-21,3385,16186,12.03,42,637.0,229,52,75,1921,379,49,30,438,7.47509313,Sunday,6.0,0,6.31666666667,86.5296803653,6.86666666667,94.495412844,June,6
2015-06-22,3088,12713,9.48,59,631.0,225,24,44,1533,373,47,23,427,5.89059708,Monday,0.0,1,6.21666666667,87.3536299766,6.31666666667,86.5296803653,June,6
2015-06-23,2823,9132,6.79,15,777.0,223,32,15,1236,360,51,26,416,4.21910909,Tuesday,1.0,1,6.0,86.5384615385,6.21666666667,87.3536299766,June,6
2015-06-24,3678,20239,15.04,25,621.0,292,37,95,2292,358,42,22,401,9.34541984,Wednesday,2.0,1,5.96666666667,89.27680798,6.0,86.5384615385,June,6
2015-06-25,3003,11199,8.32,28,737.0,227,36,20,1419,415,48,29,468,5.16980672,Thursday,3.0,1,6.91666666667,88.6752136752,5.96666666667,89.27680798,June,6
2015-06-26,3534,20269,15.06,4,720.0,218,54,99,2078,464,39,24,503,9.35784726,Friday,4.0,1,7.73333333333,92.2465208748,6.91666666667,88.6752136752,June,6
2015-06-27,3022,11655,8.66,10,670.0,220,28,53,1491,388,54,28,444,5.38107286,Saturday,5.0,0,6.46666666667,87.3873873874,7.73333333333,92.2465208748,June,6
2015-06-28,3237,12314,9.15,21,601.0,290,25,51,175,449,24,15,480,5.68554465,Sunday,6.0,0,7.48333333333,93.5416666667,6.46666666667,87.3873873874,June,6
2015-06-29,3142,12586,9.35,19,735.0,234,35,49,1579,357,29,15,395,5.80981885,Monday,0.0,1,5.95,90.3797468354,7.48333333333,93.5416666667,June,6
2015-06-30,2945,12445,9.25,11,635.0,200,18,58,1393,379,38,21,420,5.74768175,Tuesday,1.0,1,6.31666666667,90.2380952381,5.95,90.3797468354,June,6
2015-07-01,3352,14193,10.55,19,669.0,210,47,70,1782,332,16,7,349,6.55546405,Wednesday,2.0,1,5.53333333333,95.1289398281,6.31666666667,90.2380952381,July,7
2015-07-02,3063,1156,8.62,30,708.0,158,25,67,1419,413,38,19,454,5.35621802,Thursday,3.0,1,6.88333333333,90.9691629956,5.53333333333,95.1289398281,July,7
2015-07-03,3465,15695,11.66,22,648.0,248,63,54,1947,438,45,22,488,7.24518586,Friday,4.0,1,7.3,89.7540983607,6.88333333333,90.9691629956,July,7
2015-07-04,2894,9747,7.24,8,646.0,253,22,19,1337,277,42,15,320,4.49872604,Saturday,5.0,0,4.61666666667,86.5625,7.3,89.7540983607,July,7
2015-07-05,3515,15731,11.69,17,567.0,317,52,55,2111,291,22,17,317,7.26382699,Sunday,6.0,0,4.85,91.7981072555,4.61666666667,86.5625,July,7
2015-07-06,2699,8391,6.23,11,877.0,136,36,30,1082,370,26,14,444,3.87114133,Monday,0.0,1,6.16666666667,83.3333333333,4.85,91.7981072555,July,7
2015-07-07,274,8326,6.19,11,1.118,217,10,3,1106,455,21,13,482,3.84628649,Tuesday,1.0,1,7.58333333333,94.398340249,6.16666666667,83.3333333333,July,7
2015-07-08,3244,14241,10.58,14,700.0,234,22,59,1662,311,19,11,333,6.57410518,Wednesday,2.0,1,5.18333333333,93.3933933934,7.58333333333,94.398340249,July,7
2015-07-09,2994,7298,5.42,6,836.0,290,10,1,1322,550,44,19,594,3.36783082,Thursday,3.0,1,9.16666666667,92.5925925926,5.18333333333,93.3933933934,July,7
2015-07-10,3134,10644,7.91,15,683.0,283,36,17,1606,368,57,27,431,4.91504461,Friday,4.0,1,6.13333333333,85.3828306265,9.16666666667,92.5925925926,July,7
2015-07-11,3191,12371,9.19,11,639.0,194,46,60,1589,250,19,13,282,5.71039949,Saturday,5.0,0,4.16666666667,88.6524822695,6.13333333333,85.3828306265,July,7
2015-07-12,281,758,5.63,10,607.0,258,16,0,1201,76,10,7,92,3.49831873,Sunday,6.0,0,1.26666666667,82.6086956522,4.16666666667,88.6524822695,July,7
2015-07-13,3259,12168,9.04,18,731.0,212,52,60,1725,360,39,18,425,5.61719384,Monday,0.0,1,6.0,84.7058823529,1.26666666667,82.6086956522,July,7
2015-07-14,3383,15135,11.28,20,740.0,167,47,87,1813,248,12,7,261,7.00906488,Tuesday,1.0,1,4.13333333333,95.0191570881,6.0,84.7058823529,July,7
2015-07-15,3569,14996,11.14,32,573.0,321,50,54,2155,410,52,27,463,6.92207294,Wednesday,2.0,1,6.83333333333,88.5529157667,4.13333333333,95.0191570881,July,7
2015-07-16,3017,8704,6.47,14,697.0,225,31,29,1392,465,31,16,501,4.02027037,Thursday,3.0,1,7.75,92.8143712575,6.83333333333,88.5529157667,July,7
2015-07-17,3228,12739,9.47,16,761.0,247,47,47,1733,406,22,17,435,5.88438337,Friday,4.0,1,6.76666666667,93.3333333333,7.75,92.8143712575,July,7
2015-07-18,3352,13247,9.84,20,484.0,317,31,47,191,347,29,15,385,6.11429064,Saturday,5.0,0,5.78333333333,90.1298701299,6.76666666667,93.3333333333,July,7
2015-07-19,3237,1166,8.66,10,680.0,286,5,53,1703,362,24,14,393,5.38107286,Sunday,6.0,0,6.03333333333,92.1119592875,5.78333333333,90.1298701299,July,7
2015-07-20,3278,13702,10.18,21,708.0,246,48,43,1775,418,20,11,438,6.32555678,Monday,0.0,1,6.96666666667,95.4337899543,6.03333333333,92.1119592875,July,7
2015-07-21,304,1124,8.35,17,732.0,208,52,24,1438,411,31,11,451,5.18844785,Tuesday,1.0,1,6.85,91.1308203991,6.96666666667,95.4337899543,July,7
2015-07-22,3071,13262,9.85,20,1.093,166,33,70,1495,304,28,16,338,6.12050435,Wednesday,2.0,1,5.06666666667,89.9408284024,6.85,91.1308203991,July,7
2015-07-23,2984,909,6.75,17,719.0,234,23,23,1349,343,50,24,398,4.19425425,Thursday,3.0,1,5.71666666667,86.1809045226,5.06666666667,89.9408284024,July,7
2015-07-24,3468,15779,11.72,23,618.0,346,48,21,2073,368,18,10,391,7.28246812,Friday,4.0,1,6.13333333333,94.1176470588,5.71666666667,86.1809045226,July,7
2015-07-25,2706,6174,4.59,3,677.0,231,13,4,1046,380,34,24,420,2.85209289,Saturday,5.0,0,6.33333333333,90.4761904762,6.13333333333,94.1176470588,July,7
2015-07-26,309,11614,8.63,9,503.0,301,2,40,1573,322,41,13,363,5.36243173,Sunday,6.0,0,5.36666666667,88.7052341598,6.33333333333,90.4761904762,July,7
2015-07-27,3091,1346,10.0,13,822.0,190,29,64,1527,0,0,0,0,6.21371,Monday,0.0,1,0.0,0.0,5.36666666667,88.7052341598,July,7
2015-07-28,298,10,7.43,13,803.0,230,44,11,137,472,29,16,519,4.61678653,Tuesday,1.0,1,7.86666666667,90.9441233141,0.0,0.0,July,7
2015-07-29,3138,1068,7.94,16,634.0,322,21,4,1628,292,23,16,343,4.93368574,Wednesday,2.0,1,4.86666666667,85.1311953353,7.86666666667,90.9441233141,July,7
2015-07-30,3246,14105,10.48,20,718.0,225,60,44,1727,304,47,21,357,6.51196808,Thursday,3.0,1,5.06666666667,85.1540616246,4.86666666667,85.1311953353,July,7
2015-07-31,2654,9194,6.83,20,784.0,198,7,0,9140,419,51,25,480,4.24396393,Friday,4.0,1,6.98333333333,87.2916666667,5.06666666667,85.1540616246,July,7
2015-08-01,3453,17497,13.02,11,1.092,219,54,45,1673,172,6,7,185,8.09025042,Saturday,5.0,0,2.86666666667,92.972972973,6.98333333333,87.2916666667,August,8
2015-08-02,2651,5765,4.28,8,544.0,245,6,6,1039,303,48,31,356,2.65946788,Sunday,6.0,0,5.05,85.1123595506,2.86666666667,92.972972973,August,8
2015-08-03,342,15362,11.41,16,683.0,226,65,54,1883,368,29,23,406,7.08984311,Monday,0.0,1,6.13333333333,90.6403940887,5.05,85.1123595506,August,8
2015-08-04,2863,987,7.33,20,793.0,186,28,32,1225,389,36,19,433,4.55464943,Tuesday,1.0,1,6.48333333333,89.8383371824,6.13333333333,90.6403940887,August,8
2015-08-05,3326,14502,10.78,34,520.0,250,41,59,1838,415,39,31,467,6.69837938,Wednesday,2.0,1,6.91666666667,88.8650963597,6.48333333333,89.8383371824,August,8
2015-08-06,3472,14652,10.89,26,562.0,350,42,20,2079,0,0,0,0,6.76673019,Thursday,3.0,1,0.0,0.0,6.91666666667,88.8650963597,August,8
2015-08-07,2849,7628,5.67,11,638.0,283,11,8,1297,529,78,38,607,3.52317357,Friday,4.0,1,8.81666666667,87.1499176277,0.0,0.0,August,8
2015-08-08,3168,13877,10.31,32,609.0,206,57,51,1638,294,42,18,351,6.40633501,Saturday,5.0,0,4.9,83.7606837607,8.81666666667,87.1499176277,August,8
2015-08-09,3109,11433,8.49,15,561.0,236,40,35,1564,303,27,16,336,5.27543979,Sunday,6.0,0,5.05,90.1785714286,4.9,83.7606837607,August,8
2015-08-10,3139,13655,10.15,13,985.0,285,8,23,1617,553,31,20,592,6.30691565,Monday,0.0,1,9.21666666667,93.4121621622,5.05,90.1785714286,August,8
2015-08-11,2857,13535,10.08,7,1.348,44,4,14,3470,402,22,12,427,6.26341968,Tuesday,1.0,1,6.7,94.1451990632,9.21666666667,93.4121621622,August,8
2015-08-12,2055,1883,1.4,1,1.37,70,0,0,2870,192,22,12,230,0.8699194,Wednesday,2.0,1,3.2,83.4782608696,6.7,94.1451990632,August,8
2015-08-13,3218,11354,8.44,8,694.0,366,4,10,1718,487,27,17,518,5.24437124,Thursday,3.0,1,8.11666666667,94.0154440154,3.2,83.4782608696,August,8
2015-08-14,301,11532,8.57,4,572.0,301,26,10,1542,544,39,24,583,5.32514947,Friday,4.0,1,9.06666666667,93.3104631218,8.11666666667,94.0154440154,August,8
2015-08-15,2813,6129,4.55,3,635.0,256,8,1,1159,77,0,0,77,2.82723805,Saturday,5.0,0,1.28333333333,100.0,9.06666666667,93.3104631218,August,8
2015-08-16,2706,6238,4.64,3,688.0,267,0,0,1084,80,2,5,92,2.88316144,Sunday,6.0,0,1.33333333333,86.9565217391,1.28333333333,100.0,August,8
2015-08-17,3683,15572,11.57,9,515.0,472,33,14,2362,0,0,0,0,7.18926247,Monday,0.0,1,0.0,0.0,1.33333333333,86.9565217391,August,8
2015-08-18,3106,10886,8.09,19,639.0,292,27,20,1578,263,33,17,297,5.02689139,Tuesday,1.0,1,4.38333333333,88.5521885522,0.0,0.0,August,8
2015-08-19,3217,12213,9.07,6,421.0,381,13,8,1834,219,15,11,237,5.63583497,Wednesday,2.0,1,3.65,92.4050632911,4.38333333333,88.5521885522,August,8
2015-08-20,3421,12929,9.61,4,565.0,425,25,18,207,551,42,27,593,5.97137531,Thursday,3.0,1,9.18333333333,92.9173693086,3.65,92.4050632911,August,8
2015-08-21,3382,16365,12.16,5,461.0,329,45,16,195,429,34,16,465,7.55587136,Friday,4.0,1,7.15,92.2580645161,9.18333333333,92.9173693086,August,8
2015-08-22,3498,17252,12.82,15,481.0,382,19,42,2164,263,7,13,285,7.96597622,Saturday,5.0,0,4.38333333333,92.2807017544,7.15,92.2580645161,August,8
2015-08-23,3288,14537,10.8,3,518.0,345,19,47,1937,445,75,38,526,6.7108068,Sunday,6.0,0,7.41666666667,84.6007604563,4.38333333333,92.2807017544,August,8
2015-08-24,3215,13404,9.96,18,685.0,192,38,71,1648,212,33,15,247,6.18885516,Monday,0.0,1,3.53333333333,85.8299595142,7.41666666667,84.6007604563,August,8
2015-08-25,3063,1094,8.13,12,697.0,199,52,50,153,324,22,13,354,5.05174623,Tuesday,1.0,1,5.4,91.5254237288,3.53333333333,85.8299595142,August,8
2015-08-26,2928,10032,7.45,13,757.0,175,45,45,1328,465,60,33,525,4.62921395,Wednesday,2.0,1,7.75,88.5714285714,5.4,91.5254237288,August,8
2015-08-27,3229,14008,10.41,6,544.0,334,18,35,1828,440,33,23,476,6.46847211,Thursday,3.0,1,7.33333333333,92.4369747899,7.75,88.5714285714,August,8
2015-08-28,3356,12149,9.03,11,1.051,369,9,11,1861,518,28,19,549,5.61098013,Friday,4.0,1,8.63333333333,94.3533697632,7.33333333333,92.4369747899,August,8
2015-08-29,389,19977,14.84,26,648.0,395,23,74,254,375,49,33,446,9.22114564,Saturday,5.0,0,6.25,84.0807174888,8.63333333333,94.3533697632,August,8
2015-08-30,2961,11924,8.91,64,1.421,0,0,0,0,326,13,6,339,5.53641561,Sunday,6.0,0,5.43333333333,96.1651917404,6.25,84.0807174888,August,8
2015-08-31,3136,10757,7.99,15,1.187,145,43,65,1532,397,21,14,437,4.96475429,Monday,0.0,1,6.61666666667,90.8466819222,5.43333333333,96.1651917404,August,8
2015-09-01,3681,12229,9.11,24,689.0,421,17,16,22,497,47,37,549,5.66068981,Tuesday,1.0,1,8.28333333333,90.5282331512,6.61666666667,90.8466819222,September,9
2015-09-02,3009,1033,7.68,16,770.0,248,16,15,1369,0,0,0,0,4.77212928,Wednesday,2.0,1,0.0,0.0,8.28333333333,90.5282331512,September,9
2015-09-03,3094,11689,8.69,11,1.043,182,50,51,153,234,5,8,250,5.39971399,Thursday,3.0,1,3.9,93.6,0.0,0.0,September,9
2015-09-04,3518,15627,11.61,26,606.0,284,50,55,2063,52,6,3,69,7.21411731,Friday,4.0,1,0.866666666667,75.3623188406,3.9,93.6,September,9
2015-09-05,2885,10681,7.94,1,656.0,240,15,30,1356,0,0,0,0,4.93368574,Saturday,5.0,0,0.0,0.0,0.866666666667,75.3623188406,September,9
2015-09-06,2745,7907,5.88,0,654.0,287,0,0,1217,125,13,9,141,3.65366148,Sunday,6.0,0,2.08333333333,88.6524822695,0.0,0.0,September,9
2015-09-07,2829,9487,7.05,17,1.156,152,40,28,1197,316,46,20,366,4.38066555,Monday,0.0,1,5.26666666667,86.3387978142,2.08333333333,88.6524822695,September,9
2015-09-08,2742,8253,6.13,11,1.137,91,16,29,7630,0,0,0,0,3.80900423,Tuesday,1.0,1,0.0,0.0,5.26666666667,86.3387978142,September,9
2015-09-09,4351,22238,16.52,16,355.0,407,87,85,3181,452,26,18,489,10.26504892,Wednesday,2.0,1,7.53333333333,92.4335378323,0.0,0.0,September,9
2015-09-10,2967,1065,7.91,15,940.0,198,38,42,1421,479,32,21,512,4.91504461,Thursday,3.0,1,7.98333333333,93.5546875,7.53333333333,92.4335378323,September,9
2015-09-11,3054,12038,8.94,14,700.0,201,44,57,153,382,30,18,414,5.55505674,Friday,4.0,1,6.36666666667,92.270531401,7.98333333333,93.5546875,September,9
2015-09-12,2937,1148,8.53,2,462.0,315,8,13,1481,0,0,0,0,5.30029463,Saturday,5.0,0,0.0,0.0,6.36666666667,92.270531401,September,9
2015-09-13,2977,9199,6.84,5,600.0,361,15,8,1564,153,8,9,163,4.25017764,Sunday,6.0,0,2.55,93.8650306748,0.0,0.0,September,9
2015-09-14,2947,9564,7.11,16,1.118,168,43,46,1355,393,61,33,468,4.41794781,Monday,0.0,1,6.55,83.9743589744,2.55,93.8650306748,September,9
2015-09-15,2821,9019,6.7,13,755.0,144,72,25,1247,226,12,8,249,4.1631857,Tuesday,1.0,1,3.76666666667,90.7630522088,6.55,83.9743589744,September,9
2015-09-16,3041,10239,7.61,13,675.0,192,35,46,1464,249,31,15,287,4.72863331,Wednesday,2.0,1,4.15,86.7595818815,3.76666666667,90.7630522088,September,9
2015-09-17,2796,7739,5.75,14,741.0,211,17,10,114,525,72,45,603,3.57288325,Thursday,3.0,1,8.75,87.0646766169,4.15,86.7595818815,September,9
2015-09-18,2978,1262,9.38,9,773.0,170,59,39,1419,414,61,34,480,5.82845998,Friday,4.0,1,6.9,86.25,8.75,87.0646766169,September,9
2015-09-19,316,14226,10.57,11,669.0,291,35,41,1736,0,0,0,0,6.56789147,Saturday,5.0,0,0.0,0.0,6.9,86.25,September,9
2015-09-20,2325,3858,2.87,1,1.255,185,0,0,7000,426,17,11,444,1.78333477,Sunday,6.0,0,7.1,95.9459459459,0.0,0.0,September,9
2015-09-21,3458,17603,13.08,35,1.053,223,56,67,1912,423,40,27,478,8.12753268,Monday,0.0,1,7.05,88.4937238494,7.1,95.9459459459,September,9
2015-09-22,2988,10699,7.95,17,655.0,252,32,21,1471,407,41,29,457,4.93989945,Tuesday,1.0,1,6.78333333333,89.0590809628,7.05,88.4937238494,September,9
2015-09-23,2561,7261,5.39,17,908.0,135,14,18,8690,393,58,30,452,3.34918969,Wednesday,2.0,1,6.55,86.9469026549,6.78333333333,89.0590809628,September,9
2015-09-24,3159,10608,7.88,17,1.107,177,63,52,16,396,35,24,433,4.89640348,Thursday,3.0,1,6.6,91.454965358,6.55,86.9469026549,September,9
2015-09-25,3193,12271,9.12,7,548.0,323,34,24,1799,0,0,0,0,5.66690352,Friday,4.0,1,0.0,0.0,6.6,91.454965358,September,9
2015-09-26,2934,9998,7.45,2,782.0,327,0,0,1431,0,0,0,0,4.62921395,Saturday,5.0,0,0.0,0.0,0.0,0.0,September,9
2015-09-27,2589,5757,4.28,1,800.0,270,0,0,1033,395,35,17,430,2.65946788,Sunday,6.0,0,6.58333333333,91.8604651163,0.0,0.0,September,9
2015-09-28,2874,8995,6.68,13,826.0,171,45,33,129,420,36,17,456,4.15075828,Monday,0.0,1,7.0,92.1052631579,6.58333333333,91.8604651163,September,9
2015-09-29,2757,7553,5.61,13,789.0,163,54,15,1146,0,0,0,0,3.48589131,Tuesday,1.0,1,0.0,0.0,7.0,92.1052631579,September,9
2015-09-30,2714,6494,4.83,11,711.0,208,26,5,1092,434,35,16,469,3.00122193,Wednesday,2.0,1,7.23333333333,92.5373134328,0.0,0.0,September,9
2015-10-01,2712,7951,5.91,11,667.0,191,40,9,1126,359,54,30,414,3.67230261,Thursday,3.0,1,5.98333333333,86.7149758454,7.23333333333,92.5373134328,October,10
2015-10-02,2809,7424,5.52,8,801.0,179,43,25,1206,265,20,10,285,3.42996792,Friday,4.0,1,4.41666666667,92.9824561404,5.98333333333,86.7149758454,October,10
2015-10-03,2322,6813,5.06,0,1.315,75,41,9,6670,411,38,23,450,3.14413726,Saturday,5.0,0,6.85,91.3333333333,4.41666666667,92.9824561404,October,10
2015-10-04,2319,3991,2.97,1,1.136,163,0,0,6450,309,39,26,348,1.84547187,Sunday,6.0,0,5.15,88.7931034483,6.85,91.3333333333,October,10
2015-10-05,2859,9725,7.23,6,988.0,268,24,14,1378,477,27,16,504,4.49251233,Monday,0.0,1,7.95,94.6428571429,5.15,88.7931034483,October,10
2015-10-06,2978,8936,6.64,16,780.0,205,46,27,1383,403,45,27,448,4.12590344,Tuesday,1.0,1,6.71666666667,89.9553571429,7.95,94.6428571429,October,10
2015-10-07,2678,6565,4.88,10,841.0,157,27,20,1009,431,39,28,470,3.03229048,Wednesday,2.0,1,7.18333333333,91.7021276596,6.71666666667,89.9553571429,October,10
2015-10-08,2767,7865,5.84,15,1.118,204,32,13,1178,0,0,0,0,3.62880664,Thursday,3.0,1,0.0,0.0,7.18333333333,91.7021276596,October,10
2015-10-09,2549,8718,6.48,10,976.0,65,0,0,2580,108,7,5,115,4.02648408,Friday,4.0,1,1.8,93.9130434783,0.0,0.0,October,10
2015-10-10,2918,12364,9.22,0,1.046,234,29,32,1423,78,3,2,81,5.72904062,Saturday,5.0,0,1.3,96.2962962963,1.8,93.9130434783,October,10
2015-10-11,2509,5216,3.88,1,1.243,175,17,5,8780,397,66,35,463,2.41091948,Sunday,6.0,0,6.61666666667,85.7451403888,1.3,96.2962962963,October,10
2015-10-12,2687,658,4.89,10,1.246,104,57,33,1059,387,17,8,404,3.03850419,Monday,0.0,1,6.45,95.7920792079,6.61666666667,85.7451403888,October,10
2015-10-13,2698,7015,5.21,10,1.244,130,37,29,1036,0,0,0,0,3.23734291,Tuesday,1.0,1,0.0,0.0,6.45,95.7920792079,October,10
