appearance.eye-color,appearance.gender,appearance.hair-color,appearance.height,appearance.race,appearance.weight,biography.aliases,biography.alignment,biography.alter-egos,biography.first-appearance,biography.full-name,biography.place-of-birth,biography.publisher,connections.group-affiliation,connections.relatives,id,image.url,name,powerstats.combat,powerstats.durability,powerstats.intelligence,powerstats.power,powerstats.speed,powerstats.strength,response,work.base,work.occupation
-,Male,-,"[""6'3"", '191 cm']",null,"['230 lb', '104 kg']",['Maverick'],good,No alter egos found.,-,Christoph Nord,Unrevealed location in former East Germany,Marvel Comics,"Formerly Weapon X, Weapon Plus, Team X, Cell Six, former bodyguard of Psi-Borg, former agent of Major Barrington","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)",11,https://www.superherodb.com/pictures2/portraits/10/100/396.jpg,Agent Zero,95,80,75,72,38,28,success,-,"Mercenary, former government operative, freedom fighter"
Blue,Male,White,"[""6'2"", '188 cm']",null,"['240 lb', '108 kg']",['-'],bad,No alter egos found.,Fantastic Four #120,Gabriel Lan,"Xandar, a planet in the Tranta system, Andromeda galaxy",Marvel Comics,"Former member of Nova Corps, Heralds of Galactus",-,12,https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg,Air-Walker,40,85,50,100,100,85,success,-,"Former starship captain, Herald of Galactus"
Brown,Male,Black,"[""6'4"", '193 cm']",Cyborg,"['200 lb', '90 kg']","['""Frankie""', 'the A-Man', 'the Attending']",bad,No alter egos found.,"Deadpool #14 (March, 1998)",Francis,-,Marvel Comics,Formerly Weapon X,-,13,https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg,Ajax,55,80,56,34,35,48,success,-,-
Blue,Male,Blond,"[""5'11"", '180 cm']",null,"['201 lb', '90 kg']","['Green Lantern', 'White King', 'Sentinal']",good,No alter egos found.,All-American Comics 16 (1940),Alan Ladd Wellington Scott,Gotham City,DC Comics,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",14,https://www.superherodb.com/pictures2/portraits/10/100/698.jpg,Alan Scott,32,90,63,100,23,80,success,Gotham City and New York City; Formerly Capitol City,-
-,Male,-,"['-', '0 cm']",Human,"['- lb', '0 kg']","['Prototype', 'Zues', 'Blacklight']",bad,No alter egos found.,-,Alexander J. Mercer,-,Wildstorm,"Gentek, The Infected",Dana Mercer (sister),15,https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg,Alex Mercer,50,90,50,100,42,80,success,-,-
-,Male,-,"['-', '0 cm']",null,"['- lb', '0 kg']",['-'],good,No alter egos found.,Heroes S02E16 - Building 26,Alex Woolsly,-,NBC - Heroes,-,"Mr. Woolsly, Mrs. Woolsly, sister",16,https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg,Alex Woolsly,null,null,null,null,null,37,success,"Costa Verde, CA",Employee at Sam's Comics
Blue,Male,Black,"[""5'10"", '178 cm']",Human,"['160 lb', '72 kg']",['Alfred Beagle'],good,No alter egos found.,"Batman #16 (April, 1943)",Alfred Thaddeus Crane Pennyworth,-,DC Comics,"Batman Family, Outsiders","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)",17,https://www.superherodb.com/pictures2/portraits/10/100/628.jpg,Alfred Pennyworth,55,10,63,7,17,10,success,Wayne Manor; Batcave; Gotham City,"Butler; Caretaker, former Actor; Field Medic; Government Agent"
-,Male,No Hair,"[""8'0"", '244 cm']",Xenomorph XX121,"['375 lb', '169 kg']",['-'],bad,No alter egos found.,Alien (1979),Xenomorph,Your chest :),Dark Horse Comics,-,Alien Queen (mother),18,https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg,Alien,60,90,50,57,42,28,success,-,-
-,Male,-,"['-', '0 cm']",null,"['- lb', '0 kg']",['-'],good,No alter egos found.,(original version) King Solomon's Mines; (this version) League of Extraordinary Gentlemen #1 (America's Best Comics),,-,Wildstorm,League of Extraordinary Gentlemen,-,19,https://www.superherodb.com/pictures2/portraits/10/100/630.jpg,Allan Quatermain,null,null,null,null,null,null,success,"The Secret Wing of the British Museum, London",(former) hunter; (current) agent of the British government
Red,Male,-,"[""8'5"", '257 cm']",Android,"['385 lb', '173 kg']","['Professor Ivos Amazing Android', 'Timazo', 'Humazo', 'Hourmazo']",bad,No alter egos found.,"Brave and the Bold #30 (July, 1960)",,-,DC Comics,Formerly the Secret Society of Super Villains,"Professor Ivo (creator), Kid Amazo (cyborg offspring)",20,https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg,Amazo,100,100,63,100,83,100,success,-,-
Brown,Male,Black,"[""6'2"", '188 cm']",Human,"['225 lb', '101 kg']",['-'],bad,No alter egos found.,"Daredevil #252 (March, 1988)",,-,Marvel Comics,former leader of the Wildboys,-,21,https://www.superherodb.com/pictures2/portraits/10/100/184.jpg,Ammo,null,null,null,null,null,null,success,New York City,"Gang leader , criminal , former soldier"
-,Male,-,"['-', '0 cm']",null,"['- lb', '0 kg']","['Huggerz69', 'Sidekick']",good,No alter egos found.,-,Ando Masahashi,-,NBC - Heroes,-,-,22,https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg,Ando Masahashi,null,null,null,null,null,null,success,-,Yamagato Industries computer programmer
-,Male,-,"['-', '0 cm']",Vampire,"['- lb', '0 kg']","['Angelus', 'Twilight']",good,No alter egos found.,-,Liam,-,Dark Horse Comics,-,"Kathy (sister), Connor (son), Twilight (""child"")",23,https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg,Angel,75,90,75,100,58,30,success,-,-
Blue,Male,Blond,"[""6'0"", '183 cm']",null,"['150 lb', '68 kg']","['Formerly Death', 'Dark Angel', 'Angel', 'Avenging Angel', 'Archangel']",good,Archangel,X-Men #54-56 (1969),Warren Kenneth Worthington III,"Centerport, Long Island, New York",Archangel,"X-Men, Mutantes Sans Fronti�res, Hellfire Club; formerly Secret Defenders, X-Factor/X-Terminators, Horsemen of Apocalypse, Defenders, Death's champions, Champions of Los Angeles","Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram ""Burt"" Worthington (Dazzler, paternal uncle), unnamed cousin",24,https://www.superherodb.com/pictures2/portraits/10/100/829.jpg,Angel,42,64,63,28,46,13,success,-,"Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist"
Yellow,Female,Black,"[""5'5"", '165 cm']",Mutant,"['126 lb', '57 kg']","['Angel', 'Dusty']",good,No alter egos found.,Morlocks #1,Christina,-,Marvel Comics,-,-,25,https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg,Angel Dust,30,42,38,17,23,55,success,"Chicago, Illinois",-
Brown,Female,Black,"[""5'4"", '163 cm']",null,"['121 lb', '54 kg']",['Tempest'],good,Tempest,"New X-Men #118 (November, 2001)",Angel Salvadore Bohusk,-,Tempest,Formerly New Warriors; Special Class,Tito Bohusk (son); Axel Bohusk (son); Kara Bohusk (daughter); three other unidentified children;,26,https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg,Angel Salvadore,60,28,38,56,28,10,success,-,-
-,Female,-,"['-', '0 cm']",null,"['- lb', '0 kg']",['-'],bad,No alter egos found.,-,,-,Image Comics,-,-,27,https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg,Angela,null,null,null,null,null,97,success,-,-
Blue,Male,Blond,"[""6'0"", '183 cm']",Human,"['185 lb', '83 kg']",['The Human Zoo; A-Man; The Man with Animal Powers'],good,No alter egos found.,"Strange Adventures #180 (September, 1965)",Bernhard Baker,-,DC Comics,"Formerly Animal Masters, Forgotten Heroes, Justice League of America, Justice League Europe","Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)",28,https://www.superherodb.com/pictures2/portraits/10/100/632.jpg,Animal Man,80,85,56,73,47,48,success,"San Diego, California",-
Green,Male,No Hair,"[""5'11"", '180 cm']",null,"['200 lb', '90 kg']","['The Living Death That Walks', 'Lord of the Negative Zone']",bad,No alter egos found.,Fantastic Four Annual #6 (1968),Annihilus,"Planet of Arthros, Sector 17A, Negative Zone",Marvel Comics,Sometime ally of Blastaar,Annihilus is a series of clonal scions,29,https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg,Annihilus,64,56,75,59,47,80,success,-,"Conqueror, scavenger"
Blue,Male,Blond,"[""6'11"", '211 cm']",Human,"['270 lb', '122 kg']","['Hank Pym', 'Doctor Pym', 'Ant-Man', 'Goliath', 'Yellowjacket', 'Wasp', ""Earth's Scientist Supreme""]",good,"Giant-Man, Goliath, Wasp II, Yellowjacket","Tales to Astonish #27 (January, 1962) (as Hank Pym)  Tales to Astonish #35 (September, 1962) (as Ant-Man)",Hank Pym,"Elmsford, New York",Giant-Man,"Avengers Academy, Secret Avengers; formerly Mighty Avengers, Avengers (founding member), Defenders, Future Iron Man's Team",-,30,https://www.superherodb.com/pictures2/portraits/10/100/857.jpg,Ant-Man,32,28,100,32,23,18,success,"Avengers Compound, Los Angeles; formerly Infinite Avengers Mansion; Captive aboard a Skrull ship; Avengers Mansion, New York City, New York","Adventurer, Biochemist, former manager of Avengers Compound"
Blue,Male,Blond,"[""6'0"", '183 cm']",Human,"['190 lb', '86 kg']","['Myrmidon', 'Scott Edward Harris Lang']",good,No alter egos found.,"Avengers Vol 1 #181 (March, 1979)",Scott Lang,"Coral Gables, Florida",Marvel Comics,"Ant-Man Security Solutions; formerly Future Foundation (leader), Fantastic Four (leader), Defenders, Avengers, Heroes For Hire, Stark Industries","Cassandra Eleanor Lang (daughter), Ruth (sister), Carl (brother-in-law), Peggy Rae (ex-wife)",31,https://www.superherodb.com/pictures2/portraits/10/100/166.jpg,Ant-Man II,30,40,75,53,17,18,success,"South Beach, Miami, Florida; formerly Farmingdale, Long Island, New York","Electronics Technician,"
Yellow,Male,No Hair,"['200', '61.0 meters']",God / Eternal,"['- lb', '0 kg']","['Monitor', 'Mobius']",bad,No alter egos found.,Crisis on Infinite Earths #4,,Moon of Qward,DC Comics,"Sinestro Corps, Weaponers of Qward, Thunderers of Qward, Shadow Demons","Monitor (""brother""), The Monitors",32,https://www.superherodb.com/pictures2/portraits/10/100/1292.jpg,Anti-Monitor,90,100,88,100,50,100,success,"Qward, Antimatter Universe",-
-,Male,-,"['-', '0 cm']",null,"['- lb', '0 kg']",['Redeemer'],bad,No alter egos found.,Spawn #16,Jason Wynn,-,Image Comics,-,-,33,https://www.superherodb.com/pictures2/portraits/10/100/1071.jpg,Anti-Spawn,null,null,null,null,null,58,success,-,-
Blue,Male,Blond,"[""7'6"", '229 cm']",Symbiote,"['795 lb', '358 kg']","['Eddie', 'Edwin Brock', 'Venom', 'Lethal Protector', 'White Venom', '998th']",-,"Toxin, Venom",Amazing Spider-Man #569 (as Anti-Venom),Eddie Brock,"San Francisco, California",Toxin,-,"Carl Brock (father, estranged), Janine Brock (mother, deceased), Mary Brock (sister), Ann Weying (ex-wife, deceased), Symbiotes' relatives: Toxin Symbiote (current symbiote, former grandson), Venom Symbiote (former symbiote, grandfather, former brother), Agony, Phage, Riot, Lasher (uncles, former sons), Scorn (sister, former niece), Carnage (father, former son), Scream (aunt, former daughter, deceased), Hybrid (uncle, former son, deceased)",34,https://www.superherodb.com/pictures2/portraits/10/100/1485.jpg,Anti-Venom,84,90,75,96,65,60,success,"New York, New York",Vigilante; former journalist for the Daily Globe
Red,Male,Black,"[""7'0"", '213 cm']",Mutant,"['300 lb', '135 kg']","['The Eternal One', 'the High Lord', 'Set', 'Huitxilopochti', 'Sauru', 'Kali-Ma']",bad,No alter egos found.,"X-Factor #5 (June, 1986)",En Sabah Nur,"Akkaba, Egypt",Marvel Comics,"Clan Akkaba, employer of Apocalypse's Horsemen, Dark Riders, former employer of the Alliance of Evil, 198","Baal of the Crimson Sands (adopted father, deceased)",35,https://www.superherodb.com/pictures2/portraits/10/100/852.jpg,Apocalypse,60,100,100,100,33,100,success,"Celestial Ship, mobile",Student; formerly Conqueror; Scientist
Blue,Male,Blond,"['-', '0 cm']",null,"['- lb', '0 kg']",['-'],good,No alter egos found.,"Aquaman #23 (October, 1965)","Arthur Curry, Jr.",-,DC Comics,Aquaman Family,"Aquaman (Orin/Arthur Curry) (father); Mera (mother); Koryak (half-brother); A.J. (half-brother); Atlan (grandfather); Tom Curry (adoptive grandfather, deceased); Orm Marius (uncle); Kordax (ancestor, deceased); Arthur Joseph Curry (adoptive cousin)",36,https://www.superherodb.com/pictures2/portraits/10/100/1389.jpg,Aquababy,14,14,10,37,12,16,success,Atlantis,-
Blue,Male,Black,"[""5'10"", '178 cm']",Atlantean,"['235 lb', '106 kg']",['-'],good,No alter egos found.,"Adventure Comics #269 (February, 1960)",Garth,"Poseidonis, Atlantis",DC Comics,"Aquaman Family; formerly Black Lantern Corps, Sentinels of Magic, Teen Titans","Cerdian (son), Dolphin (wife), Berra (mother), Thar (father), Slizzath (uncle) Donna (grand-daughter)",37,https://www.superherodb.com/pictures2/portraits/10/100/1395.jpg,Aqualad,60,75,63,89,42,44,success,Atlantis,"Adventurer; Magician, former Sidekick"
Blue,Male,Blond,"[""6'1"", '185 cm']",Atlantean,"['325 lb', '146 kg']","['Dweller in the Depths', 'Swimmer', 'Waterbearer', 'Mental Man', 'Aquaboy', 'Water Wraith']",good,No alter egos found.,"More Fun Comics #73 (November, 1941)",Orin,Atlantis,DC Comics,"Justice League, Aquaman Family, Atlantean Royal Family; formerly Black Lantern Corps, Justice League International, Justice League Detroit, U.N.","Koryak (son), Arthur Curry, Jr. (son), A.J. (son), Orm Marius (half-brother), Debbie Perkins (half-sister), Drin (adopted brother), Atlanna (mother), Atlan (father), Atlena (aunt), Porm (adopted mother), Tom Curry (adopted father), Mera (wife), Hila (sister-in-law), Haumond (uncle), Kraken (uncle), Honsu (grandfather), Lorelei (grandmother), Manu (ancestor), Nala (ancestor), Fatima (ancestor), Kalunga (ancestor), Gana (ancestor), Fiona (ancestor), Regin (ancestor), Kordax (ancestor), Bazil (ancestor), Cora (ancestor), Illya (ancestor), Dardanus (ancestor), Alloroc (ancestor), Cole (ancestor), Narmea (ancestor), Orin (ancestor), Loma (ancestor), Shalako (ancestor), Thorvall (ancestor)",38,https://www.superherodb.com/pictures2/portraits/10/100/634.jpg,Aquaman,80,80,81,100,79,85,success,"Atlantean Royal Palace; Poseidonis, Atlantis","Protector of the Seas and Oceans, King of Poseidonis"
Blue,Female,Blond,"[""5'9"", '175 cm']",Human,"['140 lb', '63 kg']","['Spider-Woman', 'Madame Web']",good,No alter egos found.,Marvel Super Heroes Secret Wars #6,Julia Carpenter,"Los Angeles, California",Marvel Comics,"Omega Flight, formerly Commission on Superhuman Activities , Freedom Force , Avengers , Secret Defenders , Force Works , Queen�s Vengeance , West Coast Avengers, Secret Avengers (Civil War)","Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)",39,https://www.superherodb.com/pictures2/portraits/10/100/882.jpg,Arachne,70,70,50,71,50,48,success,"Mobile; formerly Denver, Colorado; formerly Avengers Compound, Los Angeles, California","Adventurer, fugitive, former government agent"
Blue,Male,Blond,"[""6'0"", '183 cm']",Mutant,"['150 lb', '68 kg']","['War', 'Dark Angel', 'Death', 'Avenging Angel']",good,Angel,"X-Men #1 (September, 1963)",Warren Kenneth Worthington III,"Centerport, Long Island, New York",Angel,X-Men (founding member); X-Force; Mutantes Sans Fronti�res; Hellfire Club; formerly X-Club (founding member); Death's champions; Secret Defenders; X-Factor/X-Terminators (founding member); Horsemen of Apocalypse; Defenders; Champions of Los Angeles (fou,"Wallace Worthington (paternal ancestor, deceased), Warren Worthington Sr. (paternal grandfather, deceased), Warren Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burt Worthington (paternal uncle), Mimi (maternal aunt), unnamed distant cousin",40,https://www.superherodb.com/pictures2/portraits/10/100/838.jpg,Archangel,42,64,63,35,58,13,success,-,"Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist"
Violet,Female,Purple,"[""5'8"", '173 cm']",null,"['126 lb', '57 kg']",['-'],bad,No alter egos found.,"(In shadow) Uncanny X-Men #210 (1986), (fully) X-Factor #10 (1986)",Philippa Sontag,Vietnam,Marvel Comics,"Marauders formerly, 198, Femizons",-,41,https://www.superherodb.com/pictures2/portraits/10/100/832.jpg,Arclight,70,42,38,52,23,63,success,-,Terrorist
White,Female,Orange,"[""6'4"", '193 cm']",Alien,"['218 lb', '98 kg']",['-'],good,No alter egos found.,The Order #4,Ardina,-,Marvel Comics,-,"Norrin Radd (Silver Surfer, clonal source), Clea (creator)",42,https://www.superherodb.com/pictures2/portraits/10/100/10132.jpg,Ardina,25,80,63,100,100,100,success,-,-
Brown,Male,Brown,"[""6'1"", '185 cm']",null,"['600 lb', '270 kg']","['God of War', 'Mister Talon', 'Mars', 'Warhawk']",good,No alter egos found.,Thor #129,,-,Marvel Comics,"Avengers, Mighty Avengers, Olympic Pantheon; Warhawks","Zeus (father), Hera (mother), Enyo (wife), Deimos, Phobos, Alexander (sons), Neptune, Pluto (uncles), Demeter, Hestia (aunts), Hephaestus (brother), Apollo, Dionysus, Hercules, Hermes(half-brothers), Artemis, Pallas Athena, Venus, (half-sisters)",43,https://www.superherodb.com/pictures2/portraits/10/100/1118.jpg,Ares,101,80,75,84,35,82,success,"Avengers Tower, formerly Olympus",-
Purple,Female,Pink,"[""5'5"", '165 cm']",null,"['130 lb', '59 kg']",['-'],good,No alter egos found.,Fallen Angels #1 (1987),Ariel,-,Marvel Comics,"X-Men, Formerly Fallen Angels",-,44,https://www.superherodb.com/pictures2/portraits/10/100/1348.jpg,Ariel,28,14,50,94,12,10,success,-,"Leader, refugee alien; former alien mutant-hunter and hedonist"
Black,Female,Black,"[""5'4"", '163 cm']",null,"['112 lb', '50 kg']","['X-Girl', 'Kid']",good,No alter egos found.,Astonishing X-Men #4 (2004),Hisako Ichiki,-,Marvel Comics,"X-Men, formerly: Xavier Institute Student Body, New X-Men",-,45,https://www.superherodb.com/pictures2/portraits/10/100/1347.jpg,Armor,54,80,50,55,12,63,success,-,"Adventurer, student"
-,Male,-,"['-', '0 cm']",Human,"['- lb', '0 kg']",['-'],good,Speedy,-,"Roy William Harper, Jr.",-,Speedy,-,-,46,https://www.superherodb.com/pictures2/portraits/10/100/1014.jpg,Arsenal,null,null,null,null,null,54,success,-,-
Brown,Male,Black,"['-', '0 cm']",null,"['- lb', '0 kg']",['-'],good,No alter egos found.,-,Atom,-,null,-,-,47,https://www.superherodb.com/pictures2/portraits/10/100/1159.jpg,Astro Boy,null,null,null,null,null,90,success,-,-
Brown,Male,Red,"[""6'0"", '183 cm']",Mutant,"['225 lb', '101 kg']","['Power Man', 'Smuggler', 'Goliath', 'Shatterfist', 'Intruder from Beyond', 'Edward Jantzen']",good,"Goliath, Power Man, Smuggler",Incredible Hulk #449,Erik Josten,"Milwaukee, Wisconsin",Goliath,"Thunderbolts, formerly Revengers, Defenders (New Jersey Initiative team), Masters of Evil, Maggia, Grim Reaper's Lethal Legion, Mandarin's Minions, Emissaries of Evil; former partner of Citizen V (Dallas Riordan) and Swordsman, Count Nefaria's Lethal Legi","Unidentified parents (deceased), Carl (brother, deceased), Conrad (brother), Lindy (sister, deceased)",48,https://www.superherodb.com/pictures2/portraits/10/100/878.jpg,Atlas,50,100,63,98,25,80,success,-,"Adventurer; former professional criminal, mercenary, dock worker, soldier"
Blue,Male,Brown,"[""6'6"", '198 cm']",God / Eternal,"['280 lb', '126 kg']","['Atlas the Great', 'Atlas the Untamed']",bad,No alter egos found.,Action Comics #121,,Crystal Mountain,DC Comics,-,-,49,https://www.superherodb.com/pictures2/portraits/10/100/10838.jpg,Atlas,80,100,63,27,42,100,success,"Formely; Hyssa, Metropolis",-
Blue,Male,Red,"[""5'10"", '178 cm']",null,"['150 lb', '68 kg']","['Little Superman', 'the Mighty Mite']",good,No alter egos found.,All American Comics #19,Albert Pratt,-,DC Comics,formerly Justice Society of America; formerly All-Star Squadron,"Mary James (wife, deceased), Grant Albert Emerson (Damage, son), Albert Rothstein (aka Nuklon / Atom-Smasher, godson)",50,https://www.superherodb.com/pictures2/portraits/10/100/934.jpg,Atom,null,null,null,null,null,null,success,"GBS Building, Gotham City (former) Calvin College on Earth-Two","Adventurer, Retired Professor of Nuclear Physics"
-,Male,-,"['-', '0 cm']",null,"['- lb', '0 kg']",['-'],good,No alter egos found.,-,,-,DC Comics,-,-,51,https://www.superherodb.com/pictures2/portraits/10/100/1379.jpg,Atom,null,null,null,null,null,null,success,-,-
Black,Female,Black,"[""5'6"", '168 cm']",null,"['120 lb', '54 kg']",['Shrinking Violet'],good,No alter egos found.,Teen Titans/Legion Special #1 (2004),Salu Digby,-,DC Comics,Legion of Super-Heroes,-,52,https://www.superherodb.com/pictures2/portraits/10/100/1180.jpg,Atom Girl,42,28,38,38,23,10,success,"United Planets, 31st century",-
Brown,Male,Auburn,"[""6'0"", '183 cm']",Human,"['180 lb', '81 kg']","['The Mighty Mite', 'the Tiny Titan', ""the World's Smallest Hero""]",good,No alter egos found.,Showcase #34,Ray Palmer,-,DC Comics,"Justice League of America, formerly; Suicide Squad, Teen Titans","Jean Loring (ex-wife, deceased), Princess Laethwen (wife, deceased), Danny Palmer (brother, deceased), David Palmer (father), Susan Palmer (mother, deceased), David Palmer (uncle)",53,https://www.superherodb.com/pictures2/portraits/10/100/938.jpg,Atom II,60,45,88,40,33,10,success,Ivy Town,Physics Professor
